REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,ALU,1,2010,22.105
Globe,ALUPLANT,ALU,1,2011,22.2774
Globe,ALUPLANT,ALU,1,2012,22.4499
Globe,ALUPLANT,ALU,1,2013,22.6223
Globe,ALUPLANT,ALU,1,2014,22.7948
Globe,ALUPLANT,ALU,1,2015,22.9672
Globe,ALUPLANT,ALU,1,2016,23.1396
Globe,ALUPLANT,ALU,1,2017,23.3121
Globe,ALUPLANT,ALU,1,2018,23.4845
Globe,ALUPLANT,ALU,1,2019,23.657
Globe,ALUPLANT,ALU,1,2020,23.8294
Globe,ALUPLANT,ALU,1,2021,24.0018
Globe,ALUPLANT,ALU,1,2022,24.1743
Globe,ALUPLANT,ALU,1,2023,24.3467
Globe,ALUPLANT,ALU,1,2024,24.5192
Globe,ALUPLANT,ALU,1,2025,24.6916
Globe,ALUPLANT,ALU,1,2026,24.864
Globe,ALUPLANT,ALU,1,2027,25.0365
Globe,ALUPLANT,ALU,1,2028,25.2089
Globe,ALUPLANT,ALU,1,2029,25.3814
Globe,ALUPLANT,ALU,1,2030,25.5538
Globe,ALUPLANT,ALU,1,2031,25.7262
Globe,ALUPLANT,ALU,1,2032,25.8987
Globe,ALUPLANT,ALU,1,2033,26.0711
Globe,ALUPLANT,ALU,1,2034,26.2436
Globe,ALUPLANT,ALU,1,2035,26.416
Globe,ALUPLANT,ALU,1,2036,26.5884
Globe,ALUPLANT,ALU,1,2037,26.7609
Globe,ALUPLANT,ALU,1,2038,26.9333
Globe,ALUPLANT,ALU,1,2039,27.1058
Globe,ALUPLANT,ALU,1,2040,27.2782
Globe,ALUPLANT,ALU,1,2041,27.4506
Globe,ALUPLANT,ALU,1,2042,27.6231
Globe,ALUPLANT,ALU,1,2043,27.7955
Globe,ALUPLANT,ALU,1,2044,27.968
Globe,ALUPLANT,ALU,1,2045,28.1404
Globe,ALUPLANT,ALU,1,2046,28.3128
Globe,ALUPLANT,ALU,1,2047,28.4853
