REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,WATER,1,2036,0.06257760547537919
Globe,ALUPLANT,WATER,1,2037,0.06338864854204798
Globe,ALUPLANT,WATER,1,2038,0.06485814601335001
Globe,ALUPLANT,WATER,1,2039,0.065656845011092
Globe,ALUPLANT,WATER,1,2040,0.06713065768192
Globe,ALUPLANT,WATER,1,2041,0.06861065733858601
Globe,ALUPLANT,WATER,1,2042,0.069395440744278
Globe,ALUPLANT,WATER,1,2043,0.07087956708080001
Globe,ALUPLANT,WATER,1,2044,0.0716527815096
Globe,ALUPLANT,WATER,1,2045,0.07314097787093199
Globe,ALUPLANT,WATER,1,2046,0.07463492877538801
Globe,ALUPLANT,WATER,1,2047,0.075395164056528
Globe,ALUPLANT,WATER,1,2048,0.07689301137258799
Globe,ALUPLANT,WATER,1,2049,0.0776423834955
Globe,ALUPLANT,WATER,1,2050,0.0791440763152
Globe,ALUPLANT,WATER,1,2051,0.0791440763152
Globe,ALUPLANT,WATER,1,2052,0.0791440763152
Globe,ALUPLANT,WATER,1,2053,0.0791440763152
Globe,ALUPLANT,WATER,1,2054,0.0791440763152
Globe,ALUPLANT,WATER,1,2055,0.0791440763152
Globe,ALUPLANT,WATER,1,2056,0.0791440763152
Globe,ALUPLANT,WATER,1,2057,0.0791440763152
Globe,ALUPLANT,WATER,1,2058,0.0791440763152
Globe,ALUPLANT,WATER,1,2059,0.0791440763152
Globe,ALUPLANT,WATER,1,2060,0.0791440763152
Globe,ALUPLANT,WATER,1,2061,0.0791440763152
Globe,ALUPLANT,WATER,1,2062,0.0791440763152
Globe,ALUPLANT,WATER,1,2063,0.0791440763152
Globe,ALUPLANT,WATER,1,2064,0.0791440763152
Globe,ALUPLANT,WATER,1,2065,0.0791440763152
Globe,ALUPLANT,WATER,1,2066,0.0791440763152
Globe,ALUPLANT,WATER,1,2067,0.0791440763152
Globe,ALUPLANT,WATER,1,2068,0.0791440763152
Globe,ALUPLANT,WATER,1,2069,0.0791440763152
Globe,ALUPLANT,WATER,1,2070,0.0791440763152
Globe,C1BMCHP00,WATER,1,2011,0.00068662700965362
Globe,C1BMCHP00,WATER,1,2012,0.00041472491106899997
Globe,C1BMCHP00,WATER,1,2013,0.0010392209463762
Globe,C1BMCHP00,WATER,1,2014,0.0010046953297668
Globe,C1BMCHP00,WATER,1,2015,0.0009736222831594
Globe,C1BMCHP00,WATER,1,2016,0.00093909666655
Globe,C1BMCHP00,WATER,1,2017,0.0009045710563567999
Globe,C1BMCHP00,WATER,1,2018,0.0008734980033331999
Globe,C1BMCHP00,WATER,1,2019,0.00083897239314
Globe,C1BMCHP00,WATER,1,2020,0.0011497029041274
Globe,C1BMCHP00,WATER,1,2021,0.0014604334302824
Globe,C1BMCHP00,WATER,1,2022,0.00177461649785
Globe,C1BMCHP00,WATER,1,2023,0.002085347028086
Globe,C1BMCHP00,WATER,1,2024,0.0023960775583219997
Globe,C1BMCHP00,WATER,1,2025,0.0026064196369819997
Globe,C1BMCHP00,WATER,1,2026,0.0025718940011239997
Globe,C1BMCHP00,WATER,1,2027,0.002537368365266
Globe,C1BMCHP00,WATER,1,2028,0.00250284279357
Globe,C1BMCHP00,WATER,1,2029,0.002471769719552
Globe,C1BMCHP00,WATER,1,2030,0.002437244147856
Globe,C1BMCHP00,WATER,1,2031,0.0024027185761600002
Globe,C1BMCHP00,WATER,1,2032,0.0023716454263039994
Globe,C1BMCHP00,WATER,1,2033,0.0023371198546079993
Globe,C1BMCHP00,WATER,1,2034,0.0023025942829119996
Globe,C1BMCHP00,WATER,1,2035,0.002268068582892
Globe,C1BMCHP00,WATER,1,2036,0.002236995573036
Globe,C1BMCHP00,WATER,1,2037,0.00220247000134
Globe,C1BMCHP00,WATER,1,2038,0.0021679443013200004
Globe,C1BMCHP00,WATER,1,2039,0.002136871291464
Globe,C1BMCHP00,WATER,1,2040,0.002102345719768
Globe,C1BMCHP00,WATER,1,2041,0.0020656012977880002
Globe,C1BMCHP00,WATER,1,2042,0.002096413602248
Globe,C1BMCHP00,WATER,1,2043,0.002065340452392
Globe,C1BMCHP00,WATER,1,2044,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2045,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2046,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2047,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2048,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2049,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2050,0.0020308148806959998
Globe,C1BMCHP00,WATER,1,2051,0.002084617244304
Globe,C1BMCHP00,WATER,1,2052,0.0020940043153399998
Globe,C1BMCHP00,WATER,1,2053,0.002167159258012
Globe,C1BMCHP00,WATER,1,2054,0.002243925943532
Globe,C1BMCHP00,WATER,1,2055,0.0023313347846879995
Globe,C1BMCHP00,WATER,1,2056,0.002364638428656
Globe,C1BMCHP00,WATER,1,2057,0.0022759018190999995
Globe,C1BMCHP00,WATER,1,2058,0.0019306457171679996
Globe,C1BMCHP00,WATER,1,2059,0.0015853895510739998
Globe,C1BMCHP00,WATER,1,2060,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2061,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2062,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2063,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2064,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2065,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2066,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2067,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2068,0.0013439744112284
Globe,C1BMCHP00,WATER,1,2069,0.0013439744112283998
Globe,C1BMCHP00,WATER,1,2070,0.0013439744112283998
Globe,C1BMHTF03,WATER,1,2011,0.000440117474545
Globe,C1BMHTF03,WATER,1,2012,0.0027094813783099998
Globe,C1BMHTF03,WATER,1,2013,0.003511760267344
Globe,C1BMHTF03,WATER,1,2014,0.006720972323128
Globe,C1BMHTF03,WATER,1,2015,0.008021288827104
Globe,C1BMHTF03,WATER,1,2016,0.007485965219964001
Globe,C1BMHTF03,WATER,1,2017,0.0069506416245
Globe,C1BMHTF03,WATER,1,2018,0.006415318046004
Globe,C1BMHTF03,WATER,1,2019,0.005879994408484
Globe,C1BMHTF03,WATER,1,2020,0.005348953413888
Globe,C1BMHTF03,WATER,1,2021,0.004813629806748
Globe,C1BMHTF03,WATER,1,2022,0.004278306211284
Globe,C1BMHTF03,WATER,1,2023,0.00374298261582
Globe,C1BMHTF03,WATER,1,2024,0.00320765900868
Globe,C1BMHTF03,WATER,1,2025,0.0026723354132159997
Globe,C1BMHTF03,WATER,1,2026,0.0021370118060759996
Globe,C1BMHTF03,WATER,1,2027,0.0016059708004032
Globe,C1BMHTF03,WATER,1,2028,0.0010706472002688
Globe,C1BMHTF03,WATER,1,2029,0.0005353236001344
Globe,C1BMLP000,CO2EQ,1,2010,0.000143117053879072
Globe,C1BMLP000,CO2EQ,1,2011,0.0006687437599999999
Globe,C1BMLP000,CO2EQ,1,2012,0.0006899604099999999
Globe,C1BMLP000,CO2EQ,1,2013,0.000639676729912
Globe,C1BMLP000,CO2EQ,1,2014,0.000592211897302
Globe,C1BMLP000,CO2EQ,1,2015,0.0005475165440940001
Globe,C1BMLP000,CO2EQ,1,2016,0.0005015719659119999
Globe,C1BMLP000,CO2EQ,1,2017,0.00045923565695800005
Globe,C1BMLP000,CO2EQ,1,2018,0.00042011188434799997
Globe,C1BMLP000,CO2EQ,1,2019,0.000384138320219
