VALUE,C1CO00I00,C1NG00I00,C1NU00I00,C1OI00I00,BM,GO,HY,OC,SO,WD
2010,129.671,90.06864907640401,29.230389971481603,134.133,29.464854321238267,3.1606640639999997,11.637630426240003,0.0029659607999999,0.8101781308799998,1.6212752712576
2011,135.74,89.24,29.53264215670272,135.448,29.587168454706926,3.1606640639999997,12.1760170926912,0.0029659607999999,1.034869481856,1.5808814137180802
2012,136.906,90.92,27.787575403366446,137.50000000000003,29.710109840142103,3.1606640639999997,12.7237328269632,0.0029659607999999,1.258141712832,1.53935856737856
2013,138.59,92.76000000000002,25.18456869604365,137.435,29.833992103527024,3.1957825535999995,13.287471712703999,0.0029659607999999,1.3054801753728003,1.49818577063904
2014,140.252,92.73,23.512715714745987,140.32,29.958501618878465,3.1957825535999995,13.4302075036416,0.0079092288,1.7451157556736,3.0065784842995202
2015,136.528,93.71,29.1418152371712,142.78000000000003,30.083952012179655,3.2828219136000003,14.43007017733885,0.0079092288,2.0487708917568,3.55126572756
2016,132.384,96.97,30.257243900282887,144.56,30.210029657447347,3.4391395584,15.384901562553605,0.0079092288,2.4701461441344,4.222670926020481
2017,134.849,99.61,29.72393244933976,146.881,30.3370481806648,3.5261789183999994,15.48890957376,0.0079092288,3.0106606328064,4.639208479680961
2018,137.641,104.2,30.66173518696704,147.94500000000002,30.464693955848762,3.5788566528,15.3367937856,0.0079092288,3.5571985227072007,5.06873255814144
2019,137.515,106.13,30.51953933269248,148.09500000000003,30.593280608982493,3.8018792448,16.600634305919996,0.0138411504,4.141326239769599,5.7247778791152
2020,133.72000000000003,105.43,27.83753153879506,135.853,30.72249451408272,3.8774647295999998,16.44994016064,0.0138411504,5.318799180878666,6.664368189744001
2021,100.29,135.91657060494845,30.3076413144576,138.3933008013197,30.819718568891144,3.9120786432,17.31003410304,0.0207617256,7.183310922399745,7.594725557433601
2022,75.21699999999998,170.0894830042414,37.349123217408,143.1614442650252,27.670051733951794,4.562678937599999,16.838048666880002,0.0276823008,8.005594484011567,9.274548384000001
2023,56.413,192.6,44.369856097459206,149.50346227121452,32.46868409417616,5.0281502976,17.01717566976,0.0336142223999999,9.128094026305133,10.1293632
2024,43.039706348590286,197.8,51.3773479698048,169.16299419035735,32.165429927846866,5.584445337600001,17.68392618048,0.0405347975999999,10.473142932644144,11.057656896
2025,43.5265807172544,203.0,58.35657177907199,164.04199259476664,31.865192066519764,6.2519993856,18.718882197119996,0.0464667191999999,11.985310361322032,12.022626959999998
2026,42.63508664846001,197.7821383990693,65.31504656544001,159.54933979935396,31.57652734651117,7.0557889536,20.02679364672,0.0682170984,13.719641157820398,12.9923652672
2027,42.49469046400736,190.15652136738308,72.26024726914561,161.3929733824974,31.291255085080373,8.0185199616,21.279150627840004,0.0899674776,15.550547076652208,14.11456752
2028,42.353674910655066,181.904465260594,79.1772129847296,163.21006445323474,31.01019232411852,9.171980697599999,22.50602843328,0.1107292032,17.454303332729452,15.294833856000002
2029,42.21307721455031,174.42714052448974,86.0734296774144,164.98693883291563,30.732935790667646,10.5593124096,22.818789866880003,0.1324795824,19.414252128982064,16.53400944
2030,42.070875969819646,166.66630991900874,92.95633921248,166.6897198136916,30.460319624508664,12.223656345599998,23.189838658560003,0.1542299616,21.92522386995743,17.867036159999998
