VALUE,C1_F_CLS,C1_F_HEA_I,C1_P_HCO,C1_P_LFO,C1_P_GAS
2010,4.487566418703507,12.179489904357066,1.0448990435706693,15.369181721572794,3.263018065887353
2011,4.6067126428100025,12.597753831487863,1.0807826134780376,15.896984967368189,3.3750755298086084
2012,4.719261152684174,13.00434287189816,1.1156645751026415,16.41005578536938,3.484005164355617
2013,4.825513880460191,13.399611403951043,1.1495753311637713,16.90884136224045,3.589901911353531
2014,4.925698725071582,13.784155643743404,1.182566032049028,17.394094057366754,3.6929255035917
2015,5.020092712153349,14.158274178841157,1.2146622940908278,17.866190655539476,3.7931559359327607
2016,5.108892866678076,14.52251923424855,1.2459114936065132,18.325828004205277,3.890741155472971
2017,5.19235503795428,14.877140867567787,1.2763350834608123,18.773321648658687,3.9857481553688525
2018,5.270648779651328,15.22265279603696,1.3059771363246642,19.209319843764884,4.078314566066495
2019,5.344011918009198,15.55926273171007,1.3348554721665773,19.634084699376462,4.168496035888609
2020,5.4125894486360995,15.887450539756236,1.3630112594312243,20.048221752756817,4.256421125943122
2021,5.4765884090731936,16.207341180138744,1.3904552186452566,20.451888689687422,4.342123314365889
2022,5.536198233775644,16.519581902993522,1.4172428784928215,20.84590226891898,4.425776006521444
2023,5.591526445009126,16.824008088472137,1.4433601159586273,21.230054758240577,4.507335098958521
2024,5.642727547570111,17.121195518133,1.4688563283166478,21.60507273088908,4.586954849830935
2025,5.69007207091133,17.41147482988443,1.4937598815523971,21.97137341567596,4.66472384063731
2026,5.733474706491711,17.694725915055248,1.518060471339779,22.328805248618778,4.7406098929558
2027,5.773247207740679,17.97140803249175,1.5417974982721696,22.677947764059418,4.814736047235898
2028,5.809433386753263,18.24182400944689,1.5649969424119097,23.019183096809563,4.887183434198595
2029,5.842257753520157,18.50617437967252,1.5876760078888226,23.35276429849103,4.958005779021235
2030,5.869868853955055,18.75873432692515,1.6093435530324107,23.67146727828725,5.025669341048579
2031,5.7384269452192544,18.502789835790622,1.5873856421433858,23.348493374965173,4.957099022833731
2032,5.606561144487237,18.241022596333778,1.5649281878251435,23.018171801273688,4.886968726892553
2033,5.474350475721685,17.97316968299758,1.5419486332493408,22.680170773969248,4.815208012603204
2034,5.341880187915943,17.6997067467153,1.518487785314227,22.33509051241137,4.741944312033901
2035,5.209347710827869,17.4207786500334,1.4945580720227332,21.983113817260698,4.667216435439412
2036,5.076717016506322,17.136466929669258,1.4701664885477839,21.62434357892039,4.591046227394834
2037,4.944167782548439,16.846876569216164,1.445322041609454,21.258912275181867,4.513461814148822
2038,4.811735589421927,16.55233056649026,1.420052441736822,20.8872274938974,4.434549730336041
2039,4.679593369563499,16.252936991562752,1.3943669604441251,20.509425607655345,4.354338929106216
2040,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0
