VALUE,BM,CO,EL,GO,HF,HY,LF,NG,NU,OC,OI,SO,WD,BMCS,COCS,NGCS
2010,0.14629999999999999,1.7039790358304518,0,0.0696,0.4292,0.9316,0.0326,1.4515022347645532,0.38148,0.0003,0,0.043300000000000005,0.19697306,0.0,0.0,0.0
2011,0.1431999999999999,1.7039790358304518,0,0.0696,0.4153,0.9558,0.0315,1.4069022347645532,0.38598,0.0003,0,0.0733,0.19057306,0.0,0.0,0.0
2012,0.1401,1.6645790358304517,0,0.0696,0.40149999999999997,0.98,0.0304,1.3623022347645533,0.37878,0.0003,0,0.10319999999999999,0.18417306,0.0,0.0,0.0
2013,0.137,1.6249790358304517,0,0.0696,0.38769999999999993,1.0043,0.0293,1.3178022347645533,0.37688,0.0003,0,0.1016,0.17787306,0.0,0.0,0.0
2014,0.1411,1.589414372580169,0,0.0696,0.38719999999999993,1.1057000000000001,0.0282,1.4098022347645534,0.38338,0.0007999999999999,0,0.1644,0.35237306,0.0,0.0,0.0
2015,0.1466,1.649914372580169,0,0.0711,0.4066,1.216520415089934,0.0272,1.5020022347645532,0.38308,0.0007999999999999,0,0.208,0.41257306000000005,0.0,0.0,0.0
2016,0.18540425430835988,1.7475143725801692,0,0.0749,0.4260999999999999,1.2981,0.0261,1.5940022347645533,0.39832,0.0007999999999999,0,0.27290000000000003,0.48687305999999997,0.0,0.0,0.0
2017,0.19050425430835988,1.845014372580169,0,0.0764,0.4255999999999999,1.3195999999999999,0.025,1.5862022347645532,0.39872,0.0007999999999999,0,0.359,0.52987306,0.0,0.0,0.0
2018,0.19700425430835988,1.9425143725801692,0,0.0773,0.4296930351381592,1.3404,0.0239,1.6784022347645533,0.40482,0.0007999999999999,0,0.4454,0.57367306,0.0,0.0,0.0
2019,0.2027042543083598,2.040114372580169,0,0.0828,0.4491930351381592,1.457,0.0228,1.7704022347645534,0.40353,0.0014,0,0.5384,0.6416710999999999,0.0,0.0,0.0
2020,0.2099042543083599,2.137614372580169,0,0.0841,0.4686930351381591,1.4769,0.0217,1.8365589447989839,0.39973,0.0014,0,0.6978998,0.7412711,0.0,0.0,0.0
2021,0.2155042543083599,2.198114372580169,0,0.0852,0.47489303513815917,1.5725,0.0206,1.8917589447989838,0.4019,0.0021,0,0.9957,0.8353636,0.1,0.1,0.1
2022,0.1844042543083599,2.258514372580169,0,0.0966,0.4609930351381591,1.4159,0.0196,1.8472589447989838,0.496,0.0028,0,1.0663003,1.0070000000000001,0.2,0.2,0.2
2023,0.1611042543083599,2.2191143725801687,0,0.0966,0.44719303513815917,1.3359999999999999,0.0185,1.8027589447989838,0.5901,0.0033999999999999,0,1.2278003,1.1,0.3,0.3,0.3
2024,0.14350425430835978,2.179514372580169,0,0.0966,0.4334930351381592,1.3158,0.0174,1.7581589447989838,0.6842999999999999,0.0040999999999999,0,1.4259003000000001,1.1990000000000003,0.3934797016817488,0.4,0.4
2025,0.1304042543083599,2.140014372580169,0,0.0966,0.4195930351381592,1.3466,0.0163,1.7135589447989839,0.7784,0.0047,0,1.6514003,1.301,0.3973485294491073,0.4060499662905196,0.4060499662905196
2026,0.1205042543083599,1.8431143725801689,0,0.0966,0.3571930351381591,1.4096,0.0152,1.527258944798984,0.8725,0.0069,0,1.9041003,1.4032,0.4015171723490598,0.4060499662905196,0.4060499662905196
2027,0.1132042543083599,1.635314372580169,0,0.0966,0.3153930351381591,1.4968,0.0141,1.3965589447989837,0.9667,0.0091,0,2.1723003,1.52,0.405897615962845,0.4060499662905196,0.4060499662905196
2028,0.10760425430835989,1.4899143725801691,0,0.0966,0.2860930351381592,1.5831,0.013,1.305258944798984,1.0608,0.0112,0,2.4520003,1.6420000000000001,0.4060499662905195,0.4060499662905196,0.4060499662905196
2029,0.1034042543083599,1.388014372580169,0,0.0966,0.2655930351381591,1.6051,0.0119,1.2412589447989837,1.1548999999999998,0.0134,0,2.7404002999999997,1.77,0.4060499662905195,0.4060499662905196,0.4060499662905196
2030,0.1003042543083599,1.3168143725801689,0,0.0966,0.2511930351381591,1.6312,0.0109,1.196558944798984,1.2491,0.0156,0,3.0352002999999996,1.9069999999999998,0.4060499662905195,0.4060499662905196,0.4060499662905196
2031,0.0910042543083599,1.1495143725801689,0,0.0966,0.2176930351381591,1.6247999999999998,0.0098,1.092058944798984,1.3432,0.0201999999999999,0,3.2950003,2.053,0.4060499662905195,0.4060499662905196,0.4060499662905196
2032,0.0910042543083599,1.1495143725801689,0,0.0966,0.2176930351381591,1.6554000000000002,0.0087,1.092058944798984,1.4374,0.0247999999999999,0,3.6131002999999997,2.2060000000000004,0.4060499662905195,0.4060499662905196,0.4060499662905196
2033,0.0910042543083599,1.1495143725801689,0,0.0966,0.2176930351381591,1.6859000000000004,0.0076,1.092058944798984,1.5315,0.0295,0,3.9313002999999997,2.3689999999999998,0.4060499662905195,0.4060499662905196,0.4060499662905196
2034,0.0910042543083599,1.1495143725801689,0,0.0966,0.2176930351381591,1.7165000000000004,0.0065,1.092058944798984,1.6256,0.0341,0,4.2494003,2.542,0.4060499662905195,0.4060499662905196,0.4060499662905196
2035,0.0910042543083599,1.1495143725801689,0,0.0966,0.1976930351381591,1.7471000000000003,0.0054,0.9307567100344305,1.7198000000000002,0.0387,0,4.5676003000000005,2.727,0.4060499662905195,0.4060499662905196,0.4060499662905196
2036,0.0910042543083599,1.1495143725801689,0,0.0966,0.1976930351381591,1.7740000000000002,0.0043,0.9307567100344305,1.8139000000000003,0.0457,0,4.8984003000000005,2.9219999999999997,0.4060499662905195,0.4060499662905196,0.4060499662905196
2037,0.0910042543083599,1.1495143725801689,0,0.0966,0.1976930351381591,1.8009000000000004,0.0033,0.9307567100344305,1.9080000000000004,0.0526999999999999,0,5.2293003,3.129,0.4060499662905195,0.4060499662905196,0.4060499662905196
2038,0.0910042543083599,1.1495143725801689,0,0.0966,0.1976930351381591,1.8241077653932334,0.0022,0.9307567100344305,2.0022,0.0595999999999999,0,5.5601003,3.348,0.4060499662905195,0.4060499662905196,0.4060499662905196
2039,0.0910042543083599,1.2189041639069218,0,0.0966,0.1976930351381591,1.8410077653932335,0.0011,0.8307567100344305,2.0963000000000003,0.0665999999999999,0,5.891000299999999,3.581,0.4060499662905195,0.4060499662905196,0.4060499662905196
2040,0.0910042543083599,1.318904163906922,0,0.0966,0.1776930351381591,1.8579077653932332,0.0,0.7307567100344305,2.1904000000000003,0.0735999999999999,0,6.2218003,3.828,0.4060499662905195,0.4060499662905196,0.4060499662905196
2041,0.0910042543083599,1.4189041639069222,0,0.0966,0.1576930351381591,1.8729077653932333,0.0,0.6307567100344306,2.2846,0.0854,0,6.559900299999999,4.091,0.4060499662905195,0.4060499662905196,0.4060499662905196
2042,0.0910042543083599,1.518904163906922,0,0.0978,0.1576930351381591,1.8879077653932332,0.0,0.6307567100344306,2.3787,0.0972,0,6.898000299999998,4.367999999999999,0.4060499662905195,0.4060499662905196,0.4060499662905196
2043,0.0910042543083599,1.6189041639069222,0,0.1037,0.1529999999999999,1.9029077653932336,0.0,0.5307567100344305,2.4728,0.1091,0,7.236000300000001,4.664,0.4060499662905195,0.4060499662905196,0.4060499662905196
2044,0.0910042543083599,1.718904163906922,0,0.1096,0.1197,1.9179077653932335,0.0,0.3940567100344305,2.567,0.1209,0,7.5741003000000005,4.976999999999999,0.4060499662905195,0.4060499662905196,0.4060499662905196
2045,0.0310042543083599,1.8189041639069221,0,0.1155,0.08639999999999991,1.9329077653932334,0.0,0.2834999999999999,2.6611,0.1327,0,7.8709005,5.309,0.4060499662905195,0.4060499662905196,0.4060499662905196
2046,0.0310042543083599,1.9189041639069222,0,0.1202,0.0530999999999999,1.9432077653932334,0.0,0.14669999999999989,2.7551999999999994,0.1519,0,8.060000299999999,5.660999999999999,0.4060499662905195,0.4060499662905196,0.4060499662905196
2047,0.0310042543083599,2.0189041639069223,0,0.1249,0.0398999999999999,1.9535077653932333,0.0,0.11,2.8493999999999997,0.1711,0,8.188400000000001,6.0360000000000005,0.4060499662905195,0.4060499662905196,0.4060499662905196
2048,0.0310042543083599,2.118904163906923,0,0.1296999999999999,0.0265999999999999,1.9638077653932335,0.0,0.0733,2.943499999999999,0.1902999999999999,0,8.2452,6.431999999999999,0.4060499662905195,0.4060499662905196,0.4060499662905196
2049,0.0310042543083599,2.2189041639069225,0,0.1343999999999999,0.0133,1.9741077653932335,0.0,0.0365999999999999,3.0375999999999994,0.2094999999999999,0,8.3021,6.852999999999998,0.4060499662905195,0.4060499662905196,0.4060499662905196
2050,0.0310042543083599,2.1452809180641887,0,0.1390999999999999,0.0,1.9844077653932335,0.0,0.0,3.1317999999999997,0.2286999999999999,0,8.359,7.299999999999999,0.4060499662905195,0.4060499662905196,0.4060499662905196
