VALUE,C1CO00I00,C1NG00I00,C1NU00I00,C1OI00I00,BM,GO,HY,OC,SO,WD
2010,129.671,88.28407024142162,29.230389971481603,134.13299999999998,29.464854321238267,3.1606640639999997,11.637630426240003,0.0029659607999999,0.8101781308799999,1.6212752712575997
2011,135.74,89.24000000000001,29.53264215670272,135.44799999999998,29.58716845470694,3.1606640639999997,12.1760170926912,0.0029659607999999,1.034869481856,1.5808814137180802
2012,136.906,90.92,27.94421687734877,137.50000000000003,29.71010984014209,3.1606640639999997,12.7237328269632,0.0029659607999999,1.258141712832,1.53935856737856
2013,138.58999999999995,92.76,26.52095644765748,137.435,29.833992103527027,3.1957825536,13.287471712703999,0.0029659607999999,1.3054801753728003,1.49818577063904
2014,140.252,92.73,24.194849778547976,140.32000000000002,29.958501618878454,3.1957825535999995,13.4302075036416,0.0079092288,1.7451157556736,3.0065784842995202
2015,136.528,93.71,29.1418152371712,142.78,30.08395201217965,3.2828219136000003,14.600979302632684,0.0079092288,2.0487708917568,3.55126572756
2016,132.384,96.97,30.257243900282887,144.56,30.210029657447336,3.4391395584,15.384901562553605,0.0079092288,2.4701461441344,4.222670926020481
2017,134.849,99.61,29.76467516126189,146.88100000000003,30.337048180664805,3.5261789184,15.48890957376,0.0079092288,3.0106606328064,4.639208479680961
2018,137.641,104.2,30.661735186967043,147.94500000000002,30.464693955848773,3.5788566528,15.3367937856,0.0079092288,3.5571985227072007,5.06873255814144
2019,137.515,106.13,30.51953933269248,148.095,30.593280608982486,3.8018792448,16.600634305919996,0.0138411504,4.141326239769599,5.7247778791152
2020,133.71999999999997,105.43,27.986876190221064,135.853,30.722494514082722,3.8774647295999998,16.44994016064,0.0138411504,5.318799180878667,6.664368189744001
2021,100.29,135.8142745147921,30.3076413144576,138.3933008013197,30.819718568891133,3.9120786432000005,17.31003410304,0.0207617256,7.183310922399745,7.594725557433601
2022,75.217,170.41951199579665,37.349123217408,143.16144426502518,27.340923068931595,4.5626789376,16.838048666880002,0.0276823008,8.005594484011567,9.274548384000001
2023,56.41299999999999,192.6,44.369856097459206,149.49518756616158,32.468684094176155,5.0281502976,17.017175669759986,0.0336142223999999,9.128094026305135,10.1293632
2024,43.0397063485903,197.8,51.3773479698048,169.16037262226718,32.165429927846866,5.584445337600001,17.68392618048,0.0405347975999999,10.473142932644144,11.057656896
2025,43.52658071725442,203.0,58.35657177907199,164.05169161253733,31.86519206651977,6.2519993856,18.718882197119996,0.0464667191999999,11.985310361322032,12.02262696
2026,42.63508664846001,197.78001193765888,65.31504656544001,159.54933979935393,31.57652734651117,7.0557889536,20.026793646719995,0.0682170984,13.719641157820398,12.9923652672
2027,42.49469046400736,190.15804253259267,72.2602472691456,161.3929733824974,31.29125508508039,8.0185199616,21.279150627840004,0.0899674776,15.550547076652208,14.11456752
2028,42.35367491065506,181.90430531977935,79.1772129847296,163.21006445323468,31.01019232411852,9.171980697599999,22.50602843328,0.1107292032,17.454303332729452,15.294833856000002
2029,42.21307721455031,174.44266462327533,86.0734296774144,164.98693883291563,30.718031144481905,10.5593124096,22.81878986688,0.1324795824,19.414252128982064,16.53400944
2030,42.070875969819646,166.6624823230239,92.95633921248,166.68971981369162,30.460319624508667,12.223656345599998,23.18983865856,0.1542299616,21.925223869957428,17.867036159999998
2031,41.66475709084105,144.6287258045603,99.95913444096,168.75339465636804,29.96479202564707,28.9631339136,23.09885351424,0.1997080271999999,23.65700227130538,19.294765487999996
