REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,IN,C1_F_CLS,2045,32.027689443999996
Globe,IP,C1_F_CLS,2045,10.4089990693
Globe,ID,C1_F_CLS,2046,38.4065573556
Globe,IN,C1_F_CLS,2046,32.686431792
Globe,IP,C1_F_CLS,2046,10.6230903324
Globe,ID,C1_F_CLS,2047,39.1807562123
Globe,IN,C1_F_CLS,2047,33.345324436
Globe,IP,C1_F_CLS,2047,10.8372304417
Globe,ID,C1_F_CLS,2048,39.9499512281
Globe,IN,C1_F_CLS,2048,33.999958492000005
Globe,IP,C1_F_CLS,2048,11.0499865099
Globe,ID,C1_F_CLS,2049,40.718711555
Globe,IN,C1_F_CLS,2049,34.654222600000004
Globe,IP,C1_F_CLS,2049,11.262622345
Globe,ID,C1_F_CLS,2050,41.490383029
Globe,IN,C1_F_CLS,2050,35.31096428
Globe,IP,C1_F_CLS,2050,11.476063391
Globe,ID,C1_F_CLS,2051,41.490383029
Globe,IN,C1_F_CLS,2051,35.31096428
Globe,IP,C1_F_CLS,2051,11.476063391
Globe,ID,C1_F_CLS,2052,41.490383029
Globe,IN,C1_F_CLS,2052,35.31096428
Globe,IP,C1_F_CLS,2052,11.476063391
Globe,ID,C1_F_CLS,2053,41.490383029
Globe,IN,C1_F_CLS,2053,35.31096428
Globe,IP,C1_F_CLS,2053,11.476063391
Globe,ID,C1_F_CLS,2054,41.490383029
Globe,IN,C1_F_CLS,2054,35.31096428
Globe,IP,C1_F_CLS,2054,11.476063391
Globe,ID,C1_F_CLS,2055,41.490383029
Globe,IN,C1_F_CLS,2055,35.31096428
Globe,IP,C1_F_CLS,2055,11.476063391
Globe,ID,C1_F_CLS,2056,41.490383029
Globe,IN,C1_F_CLS,2056,35.31096428
Globe,IP,C1_F_CLS,2056,11.476063391
Globe,ID,C1_F_CLS,2057,41.490383029
Globe,IN,C1_F_CLS,2057,35.31096428
Globe,IP,C1_F_CLS,2057,11.476063391
Globe,ID,C1_F_CLS,2058,41.490383029
Globe,IN,C1_F_CLS,2058,35.31096428
Globe,IP,C1_F_CLS,2058,11.476063391
Globe,ID,C1_F_CLS,2059,41.490383029
Globe,IN,C1_F_CLS,2059,35.31096428
Globe,IP,C1_F_CLS,2059,11.476063391
Globe,ID,C1_F_CLS,2060,41.490383029
Globe,IN,C1_F_CLS,2060,35.31096428
Globe,IP,C1_F_CLS,2060,11.476063391
Globe,ID,C1_F_CLS,2061,41.490383029
Globe,IN,C1_F_CLS,2061,35.31096428
Globe,IP,C1_F_CLS,2061,11.476063391
Globe,ID,C1_F_CLS,2062,41.490383029
Globe,IN,C1_F_CLS,2062,35.31096428
Globe,IP,C1_F_CLS,2062,11.476063391
Globe,ID,C1_F_CLS,2063,41.490383029
Globe,IN,C1_F_CLS,2063,35.31096428
Globe,IP,C1_F_CLS,2063,11.476063391
Globe,ID,C1_F_CLS,2064,41.490383029
Globe,IN,C1_F_CLS,2064,35.31096428
Globe,IP,C1_F_CLS,2064,11.476063391
Globe,ID,C1_F_CLS,2065,41.490383029
Globe,IN,C1_F_CLS,2065,35.31096428
Globe,IP,C1_F_CLS,2065,11.476063391
Globe,ID,C1_F_CLS,2066,41.490383029
Globe,IN,C1_F_CLS,2066,35.31096428
Globe,IP,C1_F_CLS,2066,11.476063391
Globe,ID,C1_F_CLS,2067,41.490383029
Globe,IN,C1_F_CLS,2067,35.31096428
Globe,IP,C1_F_CLS,2067,11.476063391
Globe,ID,C1_F_CLS,2068,41.490383029
Globe,IN,C1_F_CLS,2068,35.31096428
Globe,IP,C1_F_CLS,2068,11.476063391
Globe,ID,C1_F_CLS,2069,41.490383029
Globe,IN,C1_F_CLS,2069,35.31096428
Globe,IP,C1_F_CLS,2069,11.476063391
Globe,ID,C1_F_CLS,2070,41.490383029
Globe,IN,C1_F_CLS,2070,35.31096428
Globe,IP,C1_F_CLS,2070,11.476063391
Globe,ID,C1_F_HEA_I,2010,15.408366809999999
Globe,IN,C1_F_HEA_I,2010,15.408366809999999
Globe,IP,C1_F_HEA_I,2010,2.80396638
Globe,ID,C1_F_HEA_I,2011,16.18396238228
Globe,IN,C1_F_HEA_I,2011,16.18396238228
Globe,IP,C1_F_HEA_I,2011,2.9451068354400003
Globe,ID,C1_F_HEA_I,2012,16.943536185281
Globe,IN,C1_F_HEA_I,2012,16.943536185281
Globe,IP,C1_F_HEA_I,2012,3.0833316994380002
Globe,ID,C1_F_HEA_I,2013,17.687618481269002
Globe,IN,C1_F_HEA_I,2013,17.687618481269002
Globe,IP,C1_F_HEA_I,2013,3.218737467462
Globe,ID,C1_F_HEA_I,2014,18.416235613328
Globe,IN,C1_F_HEA_I,2014,18.416235613328
Globe,IP,C1_F_HEA_I,2014,3.351328933344
Globe,ID,C1_F_HEA_I,2015,19.156663127220998
Globe,IN,C1_F_HEA_I,2015,19.156663127220998
Globe,IP,C1_F_HEA_I,2015,3.4860696155579998
Globe,ID,C1_F_HEA_I,2016,19.979913109307
Globe,IN,C1_F_HEA_I,2016,19.979913109307
Globe,IP,C1_F_HEA_I,2016,3.635882071386
Globe,ID,C1_F_HEA_I,2017,20.802697339435
Globe,IN,C1_F_HEA_I,2017,20.802697339435
Globe,IP,C1_F_HEA_I,2017,3.78560977113
Globe,ID,C1_F_HEA_I,2018,21.617263755598998
Globe,IN,C1_F_HEA_I,2018,21.617263755598998
Globe,IP,C1_F_HEA_I,2018,3.9338420188020002
Globe,ID,C1_F_HEA_I,2019,22.432945284408
Globe,IN,C1_F_HEA_I,2019,22.432945284408
Globe,IP,C1_F_HEA_I,2019,4.082277191184
Globe,ID,C1_F_HEA_I,2020,23.252134600170002
Globe,IN,C1_F_HEA_I,2020,23.252134600170002
Globe,IP,C1_F_HEA_I,2020,4.23135069966
Globe,ID,C1_F_HEA_I,2021,22.796701967868998
Globe,IN,C1_F_HEA_I,2021,22.796701967868998
Globe,IP,C1_F_HEA_I,2021,4.148472494262
Globe,ID,C1_F_HEA_I,2022,22.324961820822
Globe,IN,C1_F_HEA_I,2022,22.324961820822
Globe,IP,C1_F_HEA_I,2022,4.062626698356
Globe,ID,C1_F_HEA_I,2023,21.836721526372997
Globe,IN,C1_F_HEA_I,2023,21.836721526372997
Globe,IP,C1_F_HEA_I,2023,3.973778257254
Globe,ID,C1_F_HEA_I,2024,21.331609971514
Globe,IN,C1_F_HEA_I,2024,21.331609971514
Globe,IP,C1_F_HEA_I,2024,3.881859636972
Globe,ID,C1_F_HEA_I,2025,20.80941645282
Globe,IN,C1_F_HEA_I,2025,20.80941645282
Globe,IP,C1_F_HEA_I,2025,3.78683249436
Globe,ID,C1_F_HEA_I,2026,20.207890434181998
Globe,IN,C1_F_HEA_I,2026,20.207890434181998
Globe,IP,C1_F_HEA_I,2026,3.677368671636
Globe,ID,C1_F_HEA_I,2027,19.592912618511
Globe,IN,C1_F_HEA_I,2027,19.592912618511
Globe,IP,C1_F_HEA_I,2027,3.5654569329780004
Globe,ID,C1_F_HEA_I,2028,18.964169400283
Globe,IN,C1_F_HEA_I,2028,18.964169400283
Globe,IP,C1_F_HEA_I,2028,3.4510402094340002
Globe,ID,C1_F_HEA_I,2029,18.321488078309
Globe,IN,C1_F_HEA_I,2029,18.321488078309
Globe,IP,C1_F_HEA_I,2029,3.334087073382
Globe,ID,C1_F_HEA_I,2030,17.66454879127
