TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
IN,2049,1,C1ELRDF00,Globe,6.1913520621
IN,2049,1,C1ELRLF00,Globe,16.5694886503
IN,2049,1,C1GOCVP00,Globe,1.5539810458099999
IN,2049,1,C1GOHTF03,Globe,29.9360822137
IN,2049,1,C1HFMRF00,Globe,94.13482
IN,2049,1,C1HTOOTFI,Globe,46.929447951
IN,2049,1,C1HTOOTFR,Globe,4.3662419737
IN,2049,1,C1HYDMP00,Globe,11.650176194499998
IN,2049,1,C1HYMIP00,Globe,0.266409638761
IN,2049,1,C1LFBRFN1,Globe,3.88295678677
IN,2049,1,C1LFRDF00,Globe,9.4149925568
IN,2049,1,C1NG00I00,Globe,67.301946207
IN,2049,1,C1NGBRFH1,Globe,5.7858353897
IN,2049,1,C1NGBRFN1,Globe,8.671769280000001
IN,2049,2,C1NGCCP00,Globe,4.4226023328
IN,2049,1,C1NGCCPCH,Globe,2.29157126565
IN,2049,1,C1NGCCPCS,Globe,8.4325128484
IN,2049,2,C1NGGCP00,Globe,0.6142590317
IN,2049,1,C1NGGCPCH,Globe,2.35370638807
IN,2049,1,C1NGHTF03,Globe,17.1459250996
IN,2049,1,C1NU00I00,Globe,21.9175884193
IN,2049,1,C1NULWP00,Globe,8.1176254593
IN,2049,1,C1OI00I00,Globe,54.616990483
IN,2049,1,C1OIRFP00,Globe,4.9817031263
IN,2049,2,C1OIRFP00,Globe,49.635287815
IN,2049,1,C1SOV1P00,Globe,0.389925705121
IN,2049,1,C1SOV2P00,Globe,0.49464328166
IN,2049,1,C1WDOFP00,Globe,6.1769014048
IN,2049,1,C1WDONP00,Globe,8.5746454274
IN,2049,1,CEMPLANT,Globe,5.4287161139
IN,2049,1,FERTPLANT,Globe,0.00022112010736799999
IN,2049,1,LA,Globe,3005.18707921
IN,2049,1,LA1,Globe,322.69905302099994
IN,2049,1,LA1_i,Globe,756.9573362199999
IN,2049,1,LA1_i_PROD,Globe,756.9573362199999
IN,2049,1,LA1_PROD,Globe,322.69905302099994
IN,2049,1,LA2,Globe,1925.5306762199998
IN,2049,1,LA2_PROD,Globe,1925.5306762199998
IN,2049,1,LandRes,Globe,6212.6575125
IN,2049,1,LF,Globe,1420.10024997
IN,2049,1,LF1,Globe,796.24973255
IN,2049,1,LF2,Globe,623.85051742
IN,2049,1,LF2_PROD,Globe,623.85051742
IN,2049,1,LO,Globe,1787.37
IN,2049,1,MFOOFACTOR,Globe,3.46595520803
IN,2049,1,PAPPLANT,Globe,3.62670049578
IN,2049,1,PETAPLANT,Globe,4.05938647542e-06
IN,2049,1,PETBPLANT,Globe,34.763502311399996
IN,2049,1,STEPLANT,Globe,16.7426618883
IN,2049,1,VFOOFACTOR,Globe,44.6231920659
IN,2049,1,XALUMINE,Globe,4.34436461073
IN,2049,1,XCEMMINE,Globe,27.6104507795
IN,2049,1,XPHOMINE,Globe,7.0758435641e-07
IN,2049,1,XPOTMINE,Globe,1.54784074241e-07
IN,2049,1,XSTEMINE,Globe,25.7658679824
IN,2050,1,ALUPLANT,Globe,3.8050036689999995
IN,2050,2,C1BMHTF03,Globe,-8.5615041332e-09
IN,2050,1,C1BMIGPCS,Globe,4.546119957379999
IN,2050,1,C1CO00I00,Globe,19.8713430813
IN,2050,2,C1CO00I00,Globe,31.041203460400002
IN,2050,1,C1COCHP00,Globe,0.0307125162
IN,2050,1,C1COSCPCS,Globe,4.9883264779
IN,2050,1,C1ELEFF00,Globe,53.860580082
IN,2050,1,C1ELRDF00,Globe,7.3651188577
IN,2050,1,C1ELRLF00,Globe,12.0037418121
IN,2050,1,C1GOCVP00,Globe,1.60832415163
IN,2050,1,C1GOHTF03,Globe,32.539015854
IN,2050,1,C1HFMRF00,Globe,95.92219
IN,2050,1,C1HTOOTFI,Globe,46.928416776
IN,2050,1,C1HTOOTFR,Globe,4.9949777858
IN,2050,1,C1HYDMP00,Globe,12.2502613821
IN,2050,1,C1HYMIP00,Globe,0.273912284741
IN,2050,1,C1LFBRFN1,Globe,1.97915429687
IN,2050,1,C1LFRDF00,Globe,8.4188591748
IN,2050,1,C1NG00I00,Globe,64.108360568
IN,2050,1,C1NGBRFH1,Globe,6.9420712937
IN,2050,1,C1NGBRFN1,Globe,8.671769280000001
IN,2050,1,C1NGCCPCH,Globe,2.3408682134900003
IN,2050,1,C1NGCCPCS,Globe,8.1841440379
IN,2050,1,C1NGGCPCH,Globe,0.8808932053799999
IN,2050,1,C1NGHTF03,Globe,17.04532275
IN,2050,1,C1NU00I00,Globe,23.719825213
IN,2050,1,C1NULWP00,Globe,8.785120618999999
IN,2050,1,C1OI00I00,Globe,49.794698304
IN,2050,1,C1OIRFP00,Globe,11.7347605008
IN,2050,2,C1OIRFP00,Globe,38.059940094699996
IN,2050,1,C1SOV1P00,Globe,0.6106265459
IN,2050,1,C1SOV2P00,Globe,0.70754608836
IN,2050,1,C1WDOFP00,Globe,6.555857758999999
IN,2050,1,C1WDONP00,Globe,8.960828256000001
IN,2050,1,CEMPLANT,Globe,5.4381800089
IN,2050,1,FERTPLANT,Globe,0.000219586388086
IN,2050,1,LA,Globe,3002.5315973499996
IN,2050,1,LA1,Globe,277.362555044
IN,2050,1,LA1_i,Globe,794.8052167799999
IN,2050,1,LA1_i_PROD,Globe,794.8052167799999
IN,2050,1,LA1_PROD,Globe,277.362555044
IN,2050,1,LA2,Globe,1930.3638621899997
IN,2050,1,LA2_PROD,Globe,1930.3638621899997
IN,2050,1,LandRes,Globe,6212.4356953
IN,2050,1,LF,Globe,1422.53423544
IN,2050,1,LF1,Globe,810.50130433
IN,2050,1,LF2,Globe,612.03293111
IN,2050,1,LF2_PROD,Globe,612.03293111
IN,2050,1,LO,Globe,1787.37
IN,2050,1,MFOOFACTOR,Globe,3.4746549336099997
IN,2050,1,PAPPLANT,Globe,3.63913229575
IN,2050,1,PETAPLANT,Globe,4.00503809915e-06
IN,2050,1,PETBPLANT,Globe,34.5254292104
IN,2050,1,STEPLANT,Globe,16.8363118269
IN,2050,1,VFOOFACTOR,Globe,44.79954315609999
IN,2050,1,XALUMINE,Globe,4.4141847825300005
IN,2050,1,XCEMMINE,Globe,27.7890988693
IN,2050,1,XPHOMINE,Globe,7.0267646754e-07
IN,2050,1,XPOTMINE,Globe,1.5371047441e-07
IN,2050,1,XSTEMINE,Globe,25.9099895834
IN,2051,1,ALUPLANT,Globe,3.8050036689999995
IN,2051,1,C1BMIGPCS,Globe,4.546119957379999
IN,2051,1,C1CO00I00,Globe,19.8709915652
IN,2051,2,C1CO00I00,Globe,42.1746349474
IN,2051,1,C1COCHP00,Globe,0.0307125162
IN,2051,1,C1COSCPCS,Globe,4.9883264779
IN,2051,1,C1ELEFF00,Globe,53.881373153
IN,2051,1,C1ELRDF00,Globe,8.3253522258
IN,2051,1,C1ELRLF00,Globe,5.4059656436
IN,2051,1,C1GOCVP00,Globe,1.60832415163
IN,2051,1,C1GOHTF03,Globe,32.8138006182
IN,2051,1,C1HFMRF00,Globe,95.92219
IN,2051,1,C1HTOOTFI,Globe,47.00146063
IN,2051,1,C1HTOOTFR,Globe,5.9102468826
IN,2051,1,C1HYDMP00,Globe,12.2502613821
IN,2051,1,C1HYMIP00,Globe,0.273912284741
IN,2051,1,C1LFRDF00,Globe,7.581792556800001
IN,2051,1,C1NG00I00,Globe,63.84727164099999
IN,2051,1,C1NGBRFH1,Globe,8.005956081299999
IN,2051,1,C1NGBRFN1,Globe,8.671769280000001
IN,2051,1,C1NGCCPCH,Globe,1.53647476492
IN,2051,2,C1NGCCPCH,Globe,0.45752267737
IN,2051,1,C1NGCCPCS,Globe,8.1767864897
IN,2051,2,C1NGGCP00,Globe,7.1822589909e-06
IN,2051,1,C1NGHTF03,Globe,19.4590683171
IN,2051,1,C1NU00I00,Globe,25.802090181199997
IN,2051,1,C1NULWP00,Globe,9.5563299853
IN,2051,1,C1OI00I00,Globe,45.5445560944
IN,2051,1,C1OIRFP00,Globe,17.4006028679
IN,2051,2,C1OIRFP00,Globe,28.1439532265
IN,2051,1,C1SOV1P00,Globe,0.7526267678599999
IN,2051,1,C1SOV2P00,Globe,0.7580735717
IN,2051,1,C1WDOFP00,Globe,6.9200719771
IN,2051,1,C1WDONP00,Globe,8.960828256000001
IN,2051,1,CEMPLANT,Globe,5.4381800089
IN,2051,1,FERTPLANT,Globe,0.00021757568391299998
IN,2051,1,LA,Globe,2997.22494165
IN,2051,1,LA1,Globe,227.804683265
IN,2051,1,LA1_i,Globe,834.54546387
IN,2051,1,LA1_i_PROD,Globe,834.54546387
IN,2051,1,LA1_PROD,Globe,227.804683265
IN,2051,1,LA2,Globe,1934.8747715999998
IN,2051,1,LA2_PROD,Globe,1934.8747715999998
IN,2051,1,LandRes,Globe,6211.993435799999
IN,2051,1,LF,Globe,1427.39831083
IN,2051,1,LF1,Globe,824.35502588
IN,2051,1,LF2,Globe,603.04333078
IN,2051,1,LF2_PROD,Globe,603.04333078
IN,2051,1,LO,Globe,1787.37
IN,2051,1,MFOOFACTOR,Globe,3.4827746347099997
IN,2051,1,PAPPLANT,Globe,3.63913229575
IN,2051,1,PETAPLANT,Globe,3.96836479566e-06
IN,2051,1,PETBPLANT,Globe,34.5254292104
IN,2051,1,STEPLANT,Globe,16.9299622238
IN,2051,1,VFOOFACTOR,Globe,44.904846288799995
IN,2051,1,XALUMINE,Globe,4.4141847825300005
IN,2051,1,XCEMMINE,Globe,27.7890988693
IN,2051,1,XPHOMINE,Globe,6.9624221052e-07
IN,2051,1,XPOTMINE,Globe,1.52302980114e-07
