Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,,0.06,0.12,0.18,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1012,0.0949,0.0886,0.0822,0.1559,0.2296,0.3033,0.3769,0.4506,0.5243,0.598,0.6716,0.7453,0.819,0.8927,0.9663,1.04,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.68,1.76,1.84,1.92,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041132677,-0.081971233,-0.081971233,-0.081971233,-0.116791646,-0.267834281,-0.307678593,-0.309785739,-0.311489954,-0.312849962,-0.312849962,-0.265065341,-0.262027562,-0.448288619,-0.70236004,-0.67934369,-0.929915545
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS|Biomass,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041132677,-0.081971233,-0.081971233,-0.081971233,-0.116791646,-0.267834281,-0.307678593,-0.309785739,-0.311489954,-0.312849962,-0.312849962,-0.265065341,-0.262027562,-0.448288619,-0.70236004,-0.67934369,-0.929915545
GLUCOSE,1.75DS,World,Carbon Sequestration|Direct Air Capture,Gt CO2e/yr,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687
GLUCOSE,1.75DS,World,Emissions|CO2|AFOLU,Gt CO2e/yr,4.899566956,4.92274252,4.946512328,4.968957877,4.990162828,5.035499544,5.098912572,5.155821045,5.219234073,5.276142546,5.340085698,5.229640608,5.122085958,5.024916773,4.923486217,4.825399206,4.73582646,4.642822566,4.552180924,4.463296391,4.382887746,4.297961114,4.215315427,4.139599797,4.060172114,3.981800836,3.905231575,3.83485455,3.760648497,3.687107877,3.620065396,3.548317489,3.47775112,3.40749334,3.356028439,3.308322061,3.262061002,3.221216743,3.177098028,3.133749795,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907
GLUCOSE,1.75DS,World,Emissions|CO2|Energy and Industrial Processes,Gt CO2e/yr,30.86667024,31.10230534,31.33793986,31.57349283,31.70929075,31.8461871,31.85591292,31.77624135,31.6965729,31.61690658,31.53733615,30.9558736,30.37511784,29.64383177,28.91254145,28.1812699,27.44999397,27.0969404,26.6415529,25.98973805,25.16597107,24.56781889,23.79004457,23.0053402,22.22335789,21.44130916,20.65745842,19.86741545,19.0812115,18.29433212,17.4999546,16.90123251,16.30132888,15.70111666,15.08211156,14.45834794,13.834139,13.20451326,12.57816197,11.95104021,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109,11.32263109
GLUCOSE,1.75DS,World,Emissions|CO2|Energy|Supply,Gt CO2e/yr,29.76254634,29.98840379,30.21426096,30.44003769,30.56715724,30.69428163,30.69423568,30.60479335,30.51535422,30.42591825,30.33657823,29.76628207,29.19558254,28.47435818,27.75313411,27.03193411,26.31073411,25.96877074,25.52345456,24.88171577,24.06802909,23.4799618,22.71227731,21.93766718,21.16669474,20.39473552,19.6209783,18.84103353,18.06493167,17.28815893,16.50389181,15.91610495,15.32630729,14.73620542,14.12731436,13.51366904,12.89958197,12.28082935,11.66459575,11.04759581,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201,10.42931201
GLUCOSE,1.75DS,World,Emissions|CO2|Industrial Processes,Gt CO2e/yr,1.104123894,1.113901543,1.123678898,1.133455139,1.142133513,1.151905471,1.161677241,1.171448007,1.181218673,1.190988331,1.200757928,1.189591526,1.179535294,1.169473592,1.15940734,1.149335793,1.13925986,1.128169655,1.118098341,1.10802228,1.097941977,1.087857081,1.077767265,1.067673026,1.056663145,1.046573644,1.036480127,1.026381919,1.016279832,1.006173193,0.996062791,0.985127561,0.975021591,0.964911244,0.954797197,0.9446789,0.934557024,0.923683903,0.913566224,0.903444393,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087
GLUCOSE,1.75DS,World,Final Energy|Electricity,EJ/yr,61.38853001,63.5534989,65.6480207,67.66987184,69.62112685,71.50586896,74.82869464,77.0383066,79.21402258,81.4410187,83.57521605,83.87309746,84.16446703,84.45539934,84.95079155,85.23546231,85.59327257,85.95102866,86.2914059,86.61899105,88.11249496,89.46050726,90.80257535,92.13676895,94.73625253,96.08208226,98.00300642,100.0945263,102.0896268,104.1017153,106.2484766,109.4066981,112.4292308,115.4576324,118.4990848,121.5481645,126.2971049,129.2907246,131.5271727,133.6112388,136.5484158,136.4885152,136.449705,136.4432594,136.4444329,136.4391109,136.118003,136.4432594,136.4721955,136.4655547,136.477871
