Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,TotalCCG,World,Electricity Use|Transport,EJ/yr,0.4980987,0.50486769,0.5131616,0.51965884,0.52602564,0.53388475,0.63185696,0.64200501,0.65036726,0.75331179,0.7638108,0.7810632,0.7983156,0.8139996,1.0398492,1.0602384,1.0837644,1.1088588,1.1339532,1.1590476,2.360442,2.4137676,2.4670932,2.5204188,2.647360782,3.505070282,4.574413367,5.675351292,6.66665836,7.638891999,8.516330127,9.239735113,10.05321277,10.92744667,11.77007235,12.46177921,13.07040702,13.40522112,13.51376822,13.61334343,13.70620157,12.81437657,11.96810422,11.35380004,10.87375718,10.25623221,9.77126852,9.768263114,9.770123743,9.770123743,9.770123743
GLUCOSE,TotalCCG,World,Emissions|CO2|AFOLU,Gt CO2e/yr,4.899566956,4.92274252,4.946512328,4.968957877,4.990162828,5.035499544,5.098912572,5.155821045,5.219234073,5.276142546,5.340085698,5.229640608,5.122085958,5.024916773,4.923486217,4.825399206,4.73582646,4.642822566,4.552180924,4.463296391,4.382887746,4.297961114,4.215315427,4.139599797,4.060172114,3.981800836,3.905231575,3.83485455,3.760648497,3.687107877,3.620065396,3.548317489,3.47775112,3.40749334,3.356028439,3.308322061,3.262061002,3.221216743,3.177098028,3.133749795,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907,3.091678907
GLUCOSE,TotalCCG,World,Emissions|CO2|Energy and Industrial Processes,Gt CO2e/yr,30.86667024,31.10230534,31.33793986,31.57349283,31.70929075,31.8461871,31.85591292,31.77638895,31.69671016,31.61696491,31.53724308,30.9558208,30.37511784,29.64383177,28.91254145,28.28907855,28.12575151,27.9072498,27.69976657,27.4980745,27.19341508,27.41015109,27.6162533,27.45322009,27.1800099,26.72922037,26.26086141,25.80199969,25.1299829,24.37709898,23.5609898,22.77790575,22.13543074,21.4497886,20.79544772,20.21516939,19.74672129,19.28092259,18.81464277,18.36810755,18.00002797,17.75602677,17.62451579,17.35347016,17.29920055,17.1636919,17.09689073,16.93700538,16.77668791,16.61804341,16.61804341
GLUCOSE,TotalCCG,World,Emissions|CO2|Energy|Supply,Gt CO2e/yr,29.76254634,29.98840379,30.21426096,30.44003769,30.56715724,30.69428163,30.69423568,30.60494094,30.51549148,30.42597658,30.33648515,29.76622927,29.19558254,28.47435818,27.75313411,27.13974275,26.98649165,26.77908014,26.58166823,26.39005222,26.09547311,26.32229401,26.53848603,26.38554706,26.12334675,25.68264673,25.22438129,24.77561777,24.11370307,23.37092579,22.56492701,21.79277818,21.16040915,20.48487736,19.84065052,19.27049049,18.81216426,18.35723869,17.90107655,17.46466316,17.10670888,16.86270768,16.7311967,16.46015108,16.40588146,16.27037281,16.20357165,16.0436863,15.88336882,15.72472432,15.72472432
GLUCOSE,TotalCCG,World,Emissions|CO2|Industrial Processes,Gt CO2e/yr,1.104123894,1.113901543,1.123678898,1.133455139,1.142133513,1.151905471,1.161677241,1.171448007,1.181218673,1.190988331,1.200757928,1.189591526,1.179535294,1.169473592,1.15940734,1.149335793,1.13925986,1.128169655,1.118098341,1.10802228,1.097941977,1.087857081,1.077767265,1.067673026,1.056663145,1.046573644,1.036480127,1.026381919,1.016279832,1.006173193,0.996062791,0.985127561,0.975021591,0.964911244,0.954797197,0.9446789,0.934557024,0.923683903,0.913566224,0.903444393,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087,0.893319087
GLUCOSE,TotalCCG,World,Final Energy|Industry|Solids|Coal,EJ/yr,8953.051194,9035.904606,9118.73624,9201.546701,9284.33715,9367.108143,9449.863689,9532.598491,9615.320662,9698.023977,9780.716374,9721.475852,9662.210127,9602.920039,9543.606417,9484.270409,9424.914009,9365.534427,9306.134992,9246.713581,9187.27697,9127.821634,9068.345007,9008.852988,8949.343811,8889.818821,8830.279757,8770.721697,8711.152559,8651.565374,8591.96794,8532.355416,8472.729185,8413.090809,8353.439399,8293.776627,8234.103549,8174.415562,8114.720021,8055.010173,7995.293328,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639
GLUCOSE,TotalCCG,World,Final Energy|Other Sector|Solids|Coal,EJ/yr,1848.74309,1871.956333,1895.764786,1918.978029,1942.786482,1969.809958,1999.241701,2028.33144,2057.763183,2086.852923,2116.879877,2066.827606,2017.635479,1971.202664,1924.553477,1879.590044,1835.883642,1792.861771,1750.6868,1708.757812,1668.725828,1628.088952,1588.493778,1549.501191,1510.741897,1471.824877,1433.640376,1395.743676,1357.848995,1319.552363,1282.224878,1243.834643,1205.743521,1167.008581,1143.434777,1128.182726,1113.66258,1099.563269,1085.811917,1072.121439,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898
GLUCOSE,TotalCCG,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.508450896,12.45284107,14.87572841,14.46468819,12.72232128,9.066517172,,,,,0.1059784,,,,,,2.829733277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,TotalCCG,World,Final Energy|Solids|Coal,EJ/yr,10811.30274,10920.31378,11029.37676,11134.98942,11239.84595,11345.98462,11449.10539,11560.92993,11673.08385,11784.8769,11897.70223,11788.30346,11679.84561,11574.1227,11468.15989,11363.86045,11263.62738,11158.3962,11056.82179,10955.47139,10856.0028,10755.91059,10656.83878,10558.35418,10460.08571,10361.6437,10263.92013,10166.46537,10069.00155,9971.117737,9874.192818,9776.190059,9678.472706,9580.09939,9496.874177,9421.959353,9347.766129,9273.978831,9200.531938,9127.131612,9054.381226,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538,9054.383538
GLUCOSE,TotalCCG,World,Final Energy|Transportation|Electricity|Rail,EJ/yr,0.4980987,0.50486769,0.5131616,0.51965884,0.52602564,0.53388475,0.63185696,0.64200501,0.65036726,0.75331179,0.7638108,0.7810632,0.7983156,0.8139996,1.0398492,1.0602384,1.0837644,1.1088588,1.1339532,1.1590476,2.360442,2.4137676,2.4670932,2.5204188,2.5737444,2.62707,2.7164688,2.8058676,2.8952664,2.9846652,3.074064,3.1634628,3.2528616,3.3422604,3.4316592,3.521058,3.6104568,3.6998556,3.7892544,3.8786532,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836
GLUCOSE,TotalCCG,World,Final Energy|Transportation|Electricity|Road,EJ/yr,,,,,,,,,,,,,,,,,,,,,,,,,0.073616382,0.878000282,1.857944567,2.869483692,3.77139196,4.654226799,5.442266127,6.076272313,6.80035117,7.585186273,8.33841315,8.940721206,9.459950218,9.705365518,9.72451382,9.734690229,9.739717969,8.847892969,8.001620621,7.387316441,6.907273583,6.28974861,5.80478492,5.801779514,5.803640143,5.803640143,5.803640143
GLUCOSE,TotalCCG,World,Final Energy|Transportation|Fossils|Rail,EJ/yr,3.395644,3.469249,3.542854,3.616459,3.694971,3.763669,3.577203,3.650808,3.72932,3.513412,3.58211,3.660622,3.739134,3.822553,3.248434,3.322039,3.395644,3.464342,3.537947,3.606645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,TotalCCG,World,Final Energy|Transportation|Fossils|Road,EJ/yr,62.183268,63.53784436,64.86488625,66.17302924,67.45326146,68.70558888,69.59701892,70.44778301,71.29497704,72.12777628,72.93539715,73.51532118,74.12339662,74.67314061,75.20360652,75.71191145,75.85967066,75.99400523,76.11491518,76.22240051,76.3164612,76.51893018,76.7058054,76.87708686,76.77885139,74.14440376,71.01487248,67.75841908,64.86216987,62.01376735,59.47439783,57.32461441,54.84862176,52.14754029,49.53996052,47.43741752,45.5022947,44.49823614,44.26124011,44.04179597,43.82671637,46.90286637,49.82189273,51.94079701,53.59659701,55.72661068,57.39938399,57.40975046,57.40333264,57.40333264,57.40333264
GLUCOSE,TotalCCG,World,Final Energy|Transportation|Liquids|Biomass|Road,EJ/yr,1.7894352,1.848879816,1.907537604,1.768518024,1.637291712,1.51372221,1.386698964,1.677711179,1.540972561,1.223286809,0.97051962,1.092501955,0.133907592,0.066546018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,TotalCCG,World,Land Cover|Cropland,million ha,1845.644466,1868.82003,1892.589838,1915.765401,1939.53521,1966.514821,1995.898792,2024.941313,2054.325283,2083.367805,2113.34602,2063.370103,2014.252689,1967.889853,1921.310725,1876.414332,1832.772632,1789.814041,1747.700648,1705.832494,1665.857903,1625.279023,1585.739756,1546.80168,1508.096079,1469.232547,1431.09986,1393.254001,1355.409622,1317.163385,1279.884133,1241.543238,1203.500323,1164.813953,1141.275338,1126.052091,1111.559367,1097.486683,1083.761301,1070.096679,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753
GLUCOSE,TotalCCG,World,Land Cover|Cropland|Irrigated,million ha,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,386.19,405.4995,425.774475,447.0631988,469.4163587,492.8871766,517.5315355,543.4081122,570.5785178,599.1074437,629.0628159,660.5159567,693.5417545,728.2188423,764.6297844,802.8612736,843.0043373,885.1545542,929.4122819,975.882896,1024.677041,1075.910893,1129.706437,1141.275338,1126.052091,1111.559367,1097.486683,1083.761301,1070.096679,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753
GLUCOSE,TotalCCG,World,Land Cover|Forest,million ha,4000,4000,4000,3993.234599,3969.46479,3920.378952,3852.329707,3791.066123,3723.016879,3661.753295,3593.109805,3711.542273,3826.907964,3931.278611,4040.094255,4145.312194,4241.58914,4341.382712,4438.659469,4534.092049,4620.577043,4711.801987,4800.580483,4882.112155,4967.48521,5051.771732,5134.132066,5210.035339,5289.918386,5369.139022,5441.535154,5518.899334,5595.013749,5670.854232,5726.05933,5776.752822,5825.890901,5869.368212,5916.223714,5962.27396,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829
GLUCOSE,TotalCCG,World,Land Cover|Natural Forest,million ha,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
GLUCOSE,TotalCCG,World,Land Cover|Pasture,million ha,3200,3200,3200,3200,3200,3222.106226,3260.771501,3292.992563,3331.657838,3363.8789,3402.544175,3334.087623,3267.839347,3209.831536,3147.59502,3087.273474,3034.638228,2977.803247,2922.639883,2869.075457,2822.565054,2771.91899,2722.679761,2680.086165,2633.41871,2587.995721,2543.768073,2505.71066,2463.671992,2422.697593,2387.580714,2348.557427,2310.485928,2273.331815,2241.665332,2206.195087,2171.549731,2142.145105,2109.014985,2076.629361,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418
