TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2011,Globe,C1NULWP00,1,3.86170532411
ID,2011,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2011,Globe,C1OI00I00,1,77.06144929
ID,2011,Globe,C1OIHTF03,1,6.8998375738
ID,2011,Globe,C1OIRFP00,1,14.174389477
ID,2011,Globe,C1OIRFP00,2,54.28958096299999
ID,2011,Globe,C1SOC1P00,1,0.042925257935999994
ID,2011,Globe,C1SOTHF00,1,0.51336873221
ID,2011,Globe,C1SOV1P00,1,0.21296420056799997
ID,2011,Globe,C1SOV2P00,1,0.162451144512
ID,2011,Globe,C1WDOFP00,1,0.022559607598600002
ID,2011,Globe,C1WDONP00,1,0.73726514765
ID,2011,Globe,CEMPLANT,1,5.2282790672
ID,2011,Globe,FERTPLANT,1,0.000191542021158
ID,2011,Globe,LA,1,2535.23635993
ID,2011,Globe,LA1,1,751.3363783799999
ID,2011,Globe,LA1_i,1,183.900001565
ID,2011,Globe,LA1_i_PROD,1,183.900001565
ID,2011,Globe,LA1_PROD,1,751.3363783799999
ID,2011,Globe,LA2,1,1600.0000029
ID,2011,Globe,LA2_PROD,1,1600.0000029
ID,2011,Globe,LandRes,1,6152.2618219000005
ID,2011,Globe,LF,1,1833.2
ID,2011,Globe,LF1,1,588.9155
ID,2011,Globe,LF2,1,1244.2845
ID,2011,Globe,LF2_PROD,1,1244.2845
ID,2011,Globe,LO,1,1783.8255078
ID,2011,Globe,MFOOFACTOR,1,2.7757800645699997
ID,2011,Globe,PAPPLANT,1,3.05546992201
ID,2011,Globe,PETAPLANT,1,4.6792778308e-06
ID,2011,Globe,PETBPLANT,1,18.9610983274
ID,2011,Globe,STEPLANT,1,13.183952305699998
ID,2011,Globe,VFOOFACTOR,1,32.5222026602
ID,2011,Globe,XALUMINE,1,1.7014098771
ID,2011,Globe,XCEMMINE,1,21.8228362692
ID,2011,Globe,XPHOMINE,1,6.129343155499999e-07
ID,2011,Globe,XPOTMINE,1,1.3407941389399998e-07
ID,2011,Globe,XSTEMINE,1,20.2892457695
ID,2012,Globe,ALUPLANT,1,2.04495265702
ID,2012,Globe,C1BFRDF00,1,0.27805061
ID,2012,Globe,C1BMBRFH1,1,8.4195140855
ID,2012,Globe,C1BMBRFN1,1,1.011706416
ID,2012,Globe,C1BMCHP00,1,0.226705322391
ID,2012,Globe,C1BMLP000,1,3.16208855903
ID,2012,Globe,C1CO00I00,1,69.17928508
ID,2012,Globe,C1COBRFH1,1,2.99465099136
ID,2012,Globe,C1COCHP00,1,1.01507230869
ID,2012,Globe,C1COHTF03,1,18.0791934706
ID,2012,Globe,C1COIGP00,1,0.0433588464
ID,2012,Globe,C1COSCP00,1,12.2210928786
ID,2012,Globe,C1ELEFF00,1,37.558033308
ID,2012,Globe,C1ELRLF00,1,1.55000002286
ID,2012,Globe,C1GOCVP00,1,0.135279600768
ID,2012,Globe,C1GOHTF03,1,2.1196219636299998
ID,2012,Globe,C1HFGCPCH,1,0.17380610447
ID,2012,Globe,C1HFMRF00,1,43.474337999999996
ID,2012,Globe,C1HTOOTFI,1,40.1484975219
ID,2012,Globe,C1HTOOTFR,1,1.8285669994699998
ID,2012,Globe,C1HYDMP00,1,5.660597123600001
ID,2012,Globe,C1HYMIP00,1,0.47203332614
ID,2012,Globe,C1LFAVF00,1,0.21778416
ID,2012,Globe,C1LFBRFH1,1,6.844916734999999
ID,2012,Globe,C1LFBRFN1,1,1.1562359039999999
ID,2012,Globe,C1LFCCP00,1,0.411437294278
ID,2012,Globe,C1LFRDF00,1,8.834285209799999
ID,2012,Globe,C1LFRLF00,1,3.377671
ID,2012,Globe,C1NG00I00,1,51.553213736
ID,2012,Globe,C1NGBRFH1,1,9.8742545285
ID,2012,Globe,C1NGBRFN1,1,1.4452948799999998
ID,2012,Globe,C1NGCCP00,1,6.1829715883
ID,2012,Globe,C1NGCCPCH,1,1.1180801375
ID,2012,Globe,C1NGGCP00,1,2.08820856924
ID,2012,Globe,C1NGGCPCH,1,1.10239866972
ID,2012,Globe,C1NGHTF03,1,9.4115818882
ID,2012,Globe,C1NU00I00,1,15.6427423466
ID,2012,Globe,C1NULWP00,1,5.6431248944
ID,2012,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2012,Globe,C1OI00I00,1,77.3367501
ID,2012,Globe,C1OIHTF03,1,7.0175340551
ID,2012,Globe,C1OIRFP00,1,15.649510062700001
ID,2012,Globe,C1OIRFP00,2,53.868687408999996
ID,2012,Globe,C1SOC1P00,1,0.041624492544000004
ID,2012,Globe,C1SOTHF00,1,0.5619306585099999
ID,2012,Globe,C1SOV1P00,1,0.30401777800799995
ID,2012,Globe,C1SOV2P00,1,0.23182529875199998
ID,2012,Globe,C1WDOFP00,1,0.0222170728037
ID,2012,Globe,C1WDONP00,1,0.7188550075
ID,2012,Globe,CEMPLANT,1,5.0292852072
ID,2012,Globe,FERTPLANT,1,0.00019393023620699999
ID,2012,Globe,LA,1,2546.89725347
ID,2012,Globe,LA1,1,762.99722609
ID,2012,Globe,LA1_i,1,183.900001565
ID,2012,Globe,LA1_i_PROD,1,183.900001565
ID,2012,Globe,LA1_PROD,1,762.99722609
ID,2012,Globe,LA2,1,1600.0000029
ID,2012,Globe,LA2_PROD,1,1600.0000029
ID,2012,Globe,LandRes,1,6163.9228071
ID,2012,Globe,LF,1,1833.2
ID,2012,Globe,LF1,1,588.9155
ID,2012,Globe,LF2,1,1244.2845
ID,2012,Globe,LF2_PROD,1,1244.2845
ID,2012,Globe,LO,1,1783.8255078
ID,2012,Globe,MFOOFACTOR,1,2.80767893615
ID,2012,Globe,PAPPLANT,1,3.0734755207499997
ID,2012,Globe,PETAPLANT,1,4.6967473102e-06
ID,2012,Globe,PETBPLANT,1,19.573062651
ID,2012,Globe,STEPLANT,1,13.2776027026
ID,2012,Globe,VFOOFACTOR,1,33.019538362700004
ID,2012,Globe,XALUMINE,1,1.79284068127
ID,2012,Globe,XCEMMINE,1,21.112938735199997
ID,2012,Globe,XPHOMINE,1,6.2057660554e-07
ID,2012,Globe,XPOTMINE,1,1.3575116397e-07
ID,2012,Globe,XSTEMINE,1,20.433367828799998
ID,2013,Globe,ALUPLANT,1,2.0665105390600003
ID,2013,Globe,C1BFRDF00,1,0.274336335982
ID,2013,Globe,C1BMBRFH1,1,6.4946902912
ID,2013,Globe,C1BMBRFN1,1,1.011706416
ID,2013,Globe,C1BMCHP00,1,0.30523081103099997
ID,2013,Globe,C1BMHTF03,1,2.5084001909599998
ID,2013,Globe,C1BMLP000,1,3.09609335903
ID,2013,Globe,C1CO00I00,1,57.621041573999996
ID,2013,Globe,C1COBRFH1,1,3.14207106912
ID,2013,Globe,C1COCHP00,1,0.7951606284299999
ID,2013,Globe,C1COHTF03,1,18.2555198126
ID,2013,Globe,C1COIGP00,1,0.04914002592
ID,2013,Globe,C1COSCP00,1,15.800859054699998
ID,2013,Globe,C1ELEFF00,1,38.7938772969
ID,2013,Globe,C1ELRLF00,1,1.58000002005
ID,2013,Globe,C1GOCVP00,1,0.108802225702
ID,2013,Globe,C1GOHTF03,1,3.16933034065
ID,2013,Globe,C1HFGCPCH,1,0.208593608869
ID,2013,Globe,C1HFMRF00,1,44.785076
ID,2013,Globe,C1HTOOTFI,1,41.1501914578
ID,2013,Globe,C1HTOOTFR,1,3.29151202073
ID,2013,Globe,C1HYDMP00,1,5.4557585637
ID,2013,Globe,C1HYMIP00,1,0.446347412259
ID,2013,Globe,C1LFAVF00,1,0.23767437999999996
ID,2013,Globe,C1LFBRFH1,1,6.430116737800001
ID,2013,Globe,C1LFBRFN1,1,1.373030136
ID,2013,Globe,C1LFCCP00,1,0.48339087091
ID,2013,Globe,C1LFRDF00,1,10.2361575397
ID,2013,Globe,C1LFRLF00,1,3.377671
