VALUE,0
2010,21.84415227583476
2011,22.0369189930123
2012,22.201888975293304
2013,22.360562460769707
2014,22.693792437231064
2015,22.729776678702407
2016,22.839717545070947
2017,22.99004342534114
2018,23.084164336927305
2019,23.199736509415747
2020,23.28102027322681
2021,24.03656263573752
2022,24.8334133696191
2023,25.80935519429132
2024,26.96042143613457
2025,28.202742740081607
2026,29.48048077125615
2027,30.73297470484205
2028,32.006554607238776
2029,33.27620149121556
2030,34.60443010565655
2031,35.93208041024581
2032,37.3950704159156
2033,38.90248231365617
2034,40.47472344564791
2035,42.119428248984775
2036,43.83080009949596
2037,45.62852263513057
2038,47.5221578511656
2039,49.50335238707318
2040,51.57428275966105
2041,59.999675928355245
2042,62.250842904815975
2043,64.63865974608753
2044,67.13483989393931
2045,71.23889114716603
2046,74.80572935388905
2047,77.65138883005339
2048,81.76258121075936
2049,84.91891293611943
2050,88.19963039035233
