VALUE,C1CO00I00,C1NG00I00,C1NU00I00,C1OI00I00,BM,GO,HY,OC,SO,WD
2010,129.671,98.57357131993687,29.2303899714816,120.95392716698524,29.464854321238263,3.1606640639999997,12.79113909696,0.0029659607999999,0.8101781308799998,1.6212752712575997
2011,135.74,91.7000207638828,29.53264215670272,121.4987463098861,29.587168454706923,3.1606640639999997,13.368987479232,0.0029659607999999,1.0377077218559998,1.7320839193180804
2012,136.906,89.1499665898645,28.93998523578625,127.12041979124366,29.710109840142096,3.1606640639999997,13.9578637925664,0.0029659607999999,1.260979952832,1.69171529057856
2013,138.58999999999995,88.05521163305708,28.753268284661765,132.29199440935412,29.833992103527024,3.1957825535999995,14.5636709454432,0.0029659607999999,1.3083184153728002,1.65169671143904
2014,140.252,84.87559133601201,29.23052116881024,134.8245111812472,29.958501618878458,3.1957825535999995,15.9978673054368,0.0079092288,1.7479539956736,3.1612436426995196
2015,136.528,88.05854632385282,29.165397681369605,139.33657154683314,30.083952012179658,3.3564900096,16.274735964950402,0.0088978824,2.0516091317568,3.726250792199999
2016,132.384,91.60409985454842,30.257243900282887,142.5362642914413,30.36315592205102,3.4391395584,16.870645083801598,0.009886536,2.4729843841343997,4.2318753042815995
2017,134.849,91.65664264699772,30.24594549504,146.0717561941392,30.337048180664805,3.5952553728,17.50906410624,0.0118638432,3.0134988728064,4.741498303646401
2018,137.641,90.82144927864653,30.670066768584963,150.7868204441042,30.46469395584877,3.696271488,17.86447482624,0.0128524968,3.7001140918260482,5.1996693035520005
2019,137.515,93.3335378749963,30.51953933269248,152.27434436286353,30.593280608982486,3.8018792447999994,18.221307189119997,0.0138411504,4.310492727230208,5.7247778791152
2020,133.72,99.57930308528049,30.1880698331328,132.72563772932574,30.722494514082726,3.92812416,18.578139551999996,0.014829804,5.842034008095917,6.674176674144
2021,100.29,131.81221149221122,30.30764131445759,138.3933008013197,30.819718568891144,3.9120786432,19.008897344639998,0.0207617256,7.183310922399744,7.594725557433602
2022,75.217,165.88599472198416,37.349123217408,143.16144426502518,32.77540913213498,4.562678937599999,18.53691190848,0.0276823008,8.005594484011567,6.6536081759232
2023,56.413,192.6,44.3698560974592,152.2291872067457,32.46868409417615,5.028150297599999,18.716038911360002,0.0336142224,9.128094026305135,6.296512285612802
2024,43.039706348590286,197.8,51.3773479698048,173.17171402635185,32.16542992784686,5.5844453376,19.382789422080002,0.0405347976,10.473142932644143,6.393755547302402
2025,43.52658071725441,203.0,58.356571779071984,168.3013089102782,31.865192066519747,6.2519993856,20.417745438719997,0.0464667192,11.985310361322028,7.102888663392003
2026,42.63508664846,201.85908436115463,65.31504656544,159.54933979935393,31.576527346511185,7.0557889536,21.725656888320003,0.0682170983999999,13.719641157820398,8.205824880000002
2027,42.49469046400736,194.36417604381572,72.26024726914558,161.3929733824974,31.29125508508037,8.0185199616,22.530306758400005,0.0899674776,15.550547076652208,9.6642734256
2028,42.353674910655066,186.2008202026408,79.1772129847296,163.2100644532347,31.010192324118528,9.1719806976,22.93689662208,0.1107292032,17.454303332729452,11.593768896000004
2029,42.21307721455031,177.10097217194408,86.0734296774144,164.9869388329156,30.73293579066766,10.559312409599999,23.342064842880006,0.1324795824,19.414252128982064,13.967534073600001
2030,42.07087596981963,167.0735261145481,92.95633921248,166.68971981369157,30.46031962450867,12.223656345599998,23.747233063680003,0.1542299616,21.925223869957424,16.842746880000007
2031,41.66475709084104,143.79744482377862,99.95913444096,168.75339465636804,30.29188807661045,28.9631339136,23.849480954880004,0.1997080272,23.65700227130538,19.294765488000007
2032,41.2590628255194,134.57894253983133,106.96937153471995,170.75923952134306,30.13632569007762,34.3071339136,24.284503676160003,0.2451860928,25.744713956819275,20.796162912000003
2033,40.85180536607919,124.2551488435182,113.97216676319998,172.67991370276525,29.978392246517004,40.7201339136,24.62438672064,0.2916528120000001,27.833844762333158,22.399610832
2034,40.44499318661026,112.53904435012844,120.97496199167998,174.51124097270718,29.833543516353952,48.41613391360001,24.917245153920007,0.3371308775999998,29.921556447847045,24.109524288
2035,40.03663967084798,99.7095076381534,127.98519908543994,176.25935116397665,29.1550392118053,57.651133913600006,25.210103587200003,0.3826089431999998,32.01068725336094,25.945455600000003
2036,39.628743668209374,87.35824311649469,134.98799431391998,178.67088547914562,28.908,65.3421339136,25.450361233920006,0.4518146951999998,34.27862717887483,27.886401792
2037,39.2193099251138,82.6490999787588,141.99078954239997,181.0912436297256,28.823999999999998,65.3421339136,25.690618880640006,0.5210204471999996,36.54798622438873,29.955510288
2038,38.80933880777296,77.96244099989427,149.00102663615996,183.4575481355746,28.738999999999997,65.3421339136,25.932298170240003,0.5892375455999996,38.81592614990261,32.15044742399999
2039,38.39988339542608,73.02276384932638,156.00382186463997,185.7945029351825,28.655,65.34213391360001,26.172555816960003,0.6584432975999996,41.0852851954165,34.494675984000004
2040,37.98888957167471,57.09425801469277,163.00661709311998,188.1114599835082,28.571000000000005,65.3421339136,26.412813463680003,0.7276490495999998,44.26737775834165,36.98952048
2041,38.00563677835956,51.34465119975031,170.01685418687998,188.9667633724385,28.345999999999997,65.3421339136,26.62605989568,0.8443101744,46.68589181159768,39.655290096
2042,38.02189286816374,45.82394663712736,177.01964941536,191.15243525343607,28.12,65.3699865088,26.83930632768,0.9609712992,49.10440586485371,42.47098185600001
2043,38.0376368367711,39.28962925371793,184.02244464384,193.3129831325036,27.895000000000003,65.50692843520001,27.052552759680008,1.0786210776000005,51.37030670737006,45.492635232000005
2044,38.05288285334677,33.74562145959951,191.03268173760003,195.4693243710209,27.669000000000004,65.6438703616,27.265799191680003,1.1952822024,53.75742303999897,48.695935968000015
2045,38.06762703896993,120.12741036344347,198.03547696607995,197.61852946202552,27.44400000000001,65.780812288,27.47904562368,1.3119433272,55.533208372398214,52.10519832000001
