VALUE,BM,CO,EL,GO,HF,HY,LF,NG,NU,OC,OI,SO,WD,BMCS,COCS,NGCS
2010,0.14629999999999999,1.7308000000000001,0,0.0696,0.4292,1.0253,0.0326,1.3901999999999999,0.38148,0.0003,0,0.043300000000000005,0.19697306,0.0,0.0,0.0
2011,0.2031999999999999,1.8894381373227347,0,0.0696,0.43529999999999996,1.0509,0.0315,1.4456,0.38598,0.0003,0,0.0734999999999999,0.20887306,0.0,0.0,0.0
2012,0.23361592997768388,1.950038137322735,0,0.0696,0.4414999999999999,1.0765,0.0304,1.5010000000000001,0.37878,0.0003,0,0.10339999999999999,0.20247306,0.0,0.0,0.0
2013,0.2305159299776839,2.0104381373227347,0,0.0696,0.4477,1.1021,0.0293,1.5565,0.37688,0.0003,0,0.1018,0.19617306,0.0,0.0,0.0
2014,0.23752056350359352,2.070938137322735,0,0.0696,0.45389999999999997,1.2937,0.0282,1.6118,0.38369,0.0007999999999999,0,0.16460000000000002,0.37067306,0.0,0.0,0.0
2015,0.30302056350359347,2.1314381373227347,0,0.0731,0.46,1.3355000000000001,0.0272,1.6674,0.38339,0.0009,0,0.2082,0.4329697,0.0,0.0,0.0
2016,0.3708205635035935,2.0967033186016275,0,0.0749,0.46619999999999995,1.4013,0.0261,1.7226,0.39832,0.001,0,0.2730999999999999,0.4876452,0.0,0.0,0.0
2017,0.37932603927508346,2.0572033186016276,0,0.0783,0.4725,1.4584000000000001,0.025,1.6781,0.39875,0.0012,0,0.35919999999999996,0.5412229000000001,0.0,0.0,0.0
2018,0.3900853818368093,2.0176033186016276,0,0.0804999999999999,0.4786,1.5149,0.0239,1.6687476037350766,0.40493,0.0013,0,0.468979,0.587973,0.0,0.0,0.0
2019,0.3957853818368093,2.0341679962337285,0,0.0828,0.4847999999999999,1.5676999999999999,0.0228,1.6240476037350764,0.40353,0.0014,0,0.566634,0.6416710999999999,0.0,0.0,0.0
2020,0.4029853818368093,2.094567996233729,0,0.0854999999999999,0.47099999999999986,1.6233,0.0217,1.5796476037350766,0.39973,0.0015,0,0.7890379999999999,0.7420686,0.0,0.0,0.0
2021,0.40858538183680926,2.1550679962337287,0,0.0852,0.45719999999999994,1.7171,0.0206,1.5348476037350764,0.4019,0.0021,0,0.9957,0.8353636,0.1,0.1,0.1
2022,0.3774853818368093,2.2154679962337287,0,0.0965999999999999,0.4433,1.5705,0.0196,1.4903476037350762,0.496,0.0028,0,1.0663003,0.7278636000000002,0.2,0.2,0.2
2023,0.35418538183680925,2.1972687982453367,0,0.0966,0.4295,1.5006000000000002,0.0185,1.4458476037350767,0.5901000000000001,0.0034,0,1.2278003,0.6837636000000001,0.3,0.3,0.3
2024,0.3365853818368093,2.157668798245337,0,0.0965999999999999,0.4158,1.4881,0.0174,1.4012476037350765,0.6843,0.0041,0,1.4259003000000001,0.6894636000000001,0.3934797016817488,0.4,0.4
2025,0.3234853818368093,2.118168798245337,0,0.0965999999999999,0.4018999999999999,1.5189,0.0163,1.3566476037350765,0.7784,0.0047,0,1.6514003,0.7582636,0.3973485294491071,0.4060499662905195,0.4060499662905196
2026,0.3135853818368093,1.821268798245337,0,0.0966,0.3394999999999999,1.5819,0.0152,1.1703476037350766,0.8725,0.0068999999999999,0,1.9041003,0.8725,0.4015171723490602,0.4060499662905195,0.4060499662905196
2027,0.3062853818368093,1.613468798245337,0,0.0966,0.2976999999999999,1.6192,0.0141,1.0396476037350766,0.9667,0.0091,0,2.1723003,1.0283,0.4058976159628449,0.4060499662905195,0.4060499662905196
2028,0.3006853818368093,1.468068798245337,0,0.0966,0.2683999999999999,1.6359,0.013,0.9483476037350764,1.0608,0.0112,0,2.4520003,1.2345000000000002,0.4060499662905197,0.4060499662905195,0.4060499662905196
2029,0.2964853818368093,1.3661687982453372,0,0.0966,0.2478999999999999,1.6579,0.0119,0.8843476037350764,1.1548999999999998,0.0134,0,2.7404002999999997,1.4884,0.4060499662905197,0.4060499662905195,0.4060499662905196
2030,0.29338538183680934,1.2949687982453373,0,0.0966,0.2334999999999999,1.684,0.0109,0.8396476037350764,1.2491,0.0156,0,3.0352002999999996,1.7950000000000002,0.4060499662905197,0.4060499662905195,0.4060499662905196
2031,0.2840853818368093,1.1276687982453373,0,0.0966,0.1999999999999999,1.6776,0.0098,0.7351476037350765,1.3432,0.0202,0,3.2950003,2.053,0.4060499662905197,0.4060499662905195,0.4060499662905196
2032,0.2840853818368093,1.1276687982453373,0,0.0966,0.1999999999999999,1.7082000000000002,0.0087,0.7351476037350765,1.4374,0.0248,0,3.6131002999999997,2.2060000000000004,0.4060499662905197,0.4060499662905195,0.4060499662905196
2033,0.2840853818368093,1.1276687982453373,0,0.0966,0.1999999999999999,1.7321077653932335,0.0076,0.7351476037350765,1.5315,0.0295,0,3.9313003,2.3689999999999998,0.4060499662905197,0.4060499662905195,0.4060499662905196
2034,0.2840853818368093,1.1276687982453373,0,0.0966,0.1999999999999999,1.7527077653932335,0.0065,0.7351476037350765,1.6256000000000002,0.0340999999999999,0,4.2494003,2.542,0.4060499662905197,0.4060499662905195,0.4060499662905196
