VALUE,0
2010,30.717788635025077
2011,30.986212856426093
2012,31.393844136680247
2013,31.893464994256156
2014,32.10607231553718
2015,32.343514291965946
2016,32.497312640083315
2017,33.07214255735481
2018,33.72446675788843
2019,34.05568249676945
2020,32.755410626230464
2021,30.18829425672456
2022,28.541382776674176
2023,27.287664813500047
2024,26.350043350009848
2025,26.335441856042195
2026,25.660939463666512
2027,25.48677998732809
2028,25.290635734827987
2029,25.05625713446608
2030,24.728777585826908
2031,23.730769932912843
2032,23.33189930628659
2033,22.87099209731565
2034,22.32912181223768
2035,21.68825046337512
2036,21.113475851319286
2037,20.92660572576526
2038,20.728708638127458
2039,20.50909762343244
2040,19.88446018049653
2041,18.35745559876589
2042,18.037934546920432
2043,17.56898901329815
2044,17.211154474868078
2045,10.456404851235211
2046,6.476352179437252
2047,6.32714014332023
2048,0.7000287660569446
2049,0.1413123391492554
2050,-0.1217402632682354
