VALUE,C1_F_CLS,C1_F_HEA_I,XSTE
2010,3.3699346700473094,22.142491135526864,4029.003924654407
2011,3.4379719814647514,22.25752315915251,4057.8273738816188
2012,3.5071379088586436,22.371965536094187,4086.6508231088314
2013,3.576935021711887,22.485765343358686,4115.474272336043
2014,3.6473633200244806,22.59897587853,4144.2977215632545
2015,3.718422803796423,22.711543469433355,4173.121170790468
2016,3.7901134730277155,22.8235221628343,4201.944620017681
2017,3.862435327718358,22.934857537376505,4230.768069244892
2018,3.9353883678683483,23.045604389007075,4259.591518472103
2019,4.008972593477691,23.15570754718814,4288.414967699317
2020,4.083188004546383,23.265222557048354,4317.23841692653
2021,4.158048904205403,23.374173902893943,4346.07681607554
2022,4.233526849881969,23.48245691127755,4374.900265302751
2023,4.309635981017884,23.59009547693294,4403.723714529965
2024,4.3863762976131495,23.697146643546173,4432.547163757176
2025,4.463747799667764,23.803552992840416,4461.370612984388
2026,4.541750487181729,23.909372317683285,4490.194062211601
2027,4.620384360155043,24.014546450616383,4519.017511438813
2028,4.699649418587708,24.119133933688886,4547.840960666025
2029,4.7795456624797215,24.223075850260834,4576.664409893238
2030,4.860073091831085,24.32643149156297,4605.48785912045
2031,4.941231706641798,24.429141191773766,4634.311308347662
2032,5.02302150691186,24.531234690156303,4663.134757574874
2033,5.105442492641272,24.632742475155187,4691.958206802086
2034,5.188494663830035,24.733603757176578,4720.7816560292995
2035,5.272178020478147,24.833879700405095,4749.605105256511
2036,5.356492562585608,24.933508766065337,4778.428554483722
2037,5.441438290152419,25.03255286752348,4807.252003710935
2038,5.527015203178582,25.130949716822585,4836.075452938148
2039,5.6132233016640924,25.228761976510356,4864.89890216536
2040,5.700062585608952,25.325926609448313,4893.722351392572
2041,5.787550631927647,25.42258423629528,4922.560750541583
2042,5.875652450480381,25.51851649306871,4951.384199768794
2043,5.964385454492466,25.613864909509513,4980.207648996007
2044,6.053749643963901,25.708564949921794,5009.0310982232195
2045,6.143745018894686,25.802681524592234,5037.854547450432
2046,6.234371579284818,25.896149348643366,5066.677996677643
2047,6.325629325134302,25.989034081543437,5095.501445904857
2048,3.9897459060321743,16.214622975519717,3185.7726701448105
2049,4.014232620810937,16.138798818205125,3177.544431831173
2050,4.007821575977143,15.940951926724383,3145.210024435749
