TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2011,1,C1SOV2P00,Globe,0.16187302656
ID,2011,1,C1WDOFP00,Globe,0.0052464204143999995
ID,2011,1,C1WDONP00,Globe,0.57481689849408
ID,2011,1,CEMPLANT,Globe,4.988814245022969
ID,2011,1,FERTPLANT,Globe,0.00018970257053744247
ID,2011,1,LA,Globe,2443.07409607263
ID,2011,1,LA1,Globe,750.5100148145331
ID,2011,1,LA1_i,Globe,174.86837805103983
ID,2011,1,LA1_i_PROD,Globe,174.86837805103983
ID,2011,1,LA1_PROD,Globe,750.5100148145331
ID,2011,1,LA2,Globe,1517.695703207057
ID,2011,1,LA2_PROD,Globe,1517.695703207057
ID,2011,1,LandRes,Globe,6060.0995960726295
ID,2011,1,LF,Globe,1833.2000000000005
ID,2011,1,LF1,Globe,588.9154999999998
ID,2011,1,LF2,Globe,1244.2845
ID,2011,1,LF2_PROD,Globe,1244.2845
ID,2011,1,LO,Globe,1783.8254999999997
ID,2011,1,MFOOFACTOR,Globe,2.6299522541731197
ID,2011,1,PAPPLANT,Globe,2.963928971297433
ID,2011,1,PETAPLANT,Globe,4.634341005047695e-06
ID,2011,1,PETBPLANT,Globe,18.961098482070838
ID,2011,1,STEPLANT,Globe,12.084410864999398
ID,2011,1,VFOOFACTOR,Globe,32.51712763258057
ID,2011,1,XALUMINE,Globe,1.5859352069857755
ID,2011,1,XCEMMINE,Globe,20.82331065872588
ID,2011,1,XPHOMINE,Globe,6.07048225719816e-07
ID,2011,1,XPOTMINE,Globe,1.3279179937620976e-07
ID,2011,1,XSTEMINE,Globe,18.59712283452785
ID,2012,1,ALUPLANT,Globe,1.8795589356745463
ID,2012,1,C1BFRDF00,Globe,0.27805061000000003
ID,2012,1,C1BMBRFH1,Globe,6.863509378162307
ID,2012,1,C1BMCHP00,Globe,0.3153713687279999
ID,2012,1,C1BMHTF03,Globe,3.0349934193600006
ID,2012,1,C1BMLP000,Globe,3.1620885588349794
ID,2012,1,C1CO00I00,Globe,65.38188319239919
ID,2012,1,C1COBRFH1,Globe,5.125974685346391
ID,2012,1,C1COCHP00,Globe,1.214205814459872
ID,2012,1,C1COHTF03,Globe,20.219277654911256
ID,2012,1,C1COIGP00,Globe,0.007291911599999999
ID,2012,1,C1COSCP00,Globe,16.265844594557787
ID,2012,1,C1ELEFF00,Globe,26.995088743227903
ID,2012,1,C1ELRLF00,Globe,3.0999999999999996
ID,2012,1,C1GOCVP00,Globe,0.123717241728
ID,2012,1,C1GOHTF03,Globe,0.08884132703999997
ID,2012,1,C1HFGCPCH,Globe,0.08467476848712
ID,2012,1,C1HFMRF00,Globe,41.017849999999996
ID,2012,1,C1HTOOTFI,Globe,34.56668723518739
ID,2012,1,C1HTOOTFR,Globe,11.89070698207166
ID,2012,1,C1HYDMP00,Globe,5.548470278899392
ID,2012,1,C1HYMIP00,Globe,0.38912338517760003
ID,2012,1,C1LFCCP00,Globe,0.24349938504652793
ID,2012,1,C1LFRDF00,Globe,8.79133975
ID,2012,1,C1LFRLF00,Globe,4.800330431441543
ID,2012,1,C1NG00I00,Globe,51.05397838000002
ID,2012,1,C1NGBRFH1,Globe,5.098329387444292
ID,2012,1,C1NGBRFN1,Globe,6.920980317631355
ID,2012,1,C1NGCCP00,Globe,5.121173579233195
ID,2012,1,C1NGCCPCH,Globe,1.002456528768
ID,2012,1,C1NGGCP00,Globe,1.5259213036169659
ID,2012,1,C1NGGCPCH,Globe,0.9398029957199999
ID,2012,1,C1NGHTF03,Globe,12.046532824800002
ID,2012,1,C1OI00I00,Globe,77.3367501
ID,2012,1,C1OIHTF03,Globe,6.332245038004722
ID,2012,1,C1OIRFP00,Globe,23.541621633763643
ID,2012,2,C1OIRFP00,Globe,32.80179443305661
ID,2012,1,C1SOC1P00,Globe,0.00650382696
ID,2012,1,C1SOTHF00,Globe,0.561930649344
ID,2012,1,C1SOV1P00,Globe,0.3035119248
ID,2012,1,C1SOV2P00,Globe,0.2312471808
ID,2012,1,C1WDOFP00,Globe,0.004760801334719999
ID,2012,1,C1WDONP00,Globe,0.5551666693056
ID,2012,1,CEMPLANT,Globe,5.00283076121846
ID,2012,1,FERTPLANT,Globe,0.00019098864884263908
ID,2012,1,LA,Globe,2398.211945573849
ID,2012,1,LA1,Globe,762.3949190251763
ID,2012,1,LA1_i,Globe,169.2570265486726
ID,2012,1,LA1_i_PROD,Globe,169.2570265486726
ID,2012,1,LA1_PROD,Globe,762.3949190251765
ID,2012,1,LA2,Globe,1466.56
ID,2012,1,LA2_PROD,Globe,1466.56
ID,2012,1,LandRes,Globe,6015.237445573849
ID,2012,1,LF,Globe,1833.2
ID,2012,1,LF1,Globe,588.9155
ID,2012,1,LF2,Globe,1244.2845000000002
ID,2012,1,LF2_PROD,Globe,1244.2845000000002
ID,2012,1,LO,Globe,1783.8255000000004
ID,2012,1,MFOOFACTOR,Globe,2.572986892471871
ID,2012,1,PAPPLANT,Globe,2.8247432612974332
