REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,1,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,1,ALU,2011,95.14262957586001
Globe,ID,ALUPLANT,1,ALU,2012,100.17233832606
Globe,ID,ALUPLANT,1,ALU,2013,102.00571976386
Globe,ID,ALUPLANT,1,ALU,2014,103.54568900927998
Globe,ID,ALUPLANT,1,ALU,2015,103.16351545048
Globe,ID,ALUPLANT,1,ALU,2016,105.61149926712002
Globe,ID,ALUPLANT,1,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,1,ALU,2018,114.06865272205002
Globe,ID,ALUPLANT,1,ALU,2019,123.9646790165
Globe,ID,ALUPLANT,1,ALU,2020,129.9939999036
Globe,ID,ALUPLANT,1,ALU,2021,131.64107394011998
Globe,ID,ALUPLANT,1,ALU,2022,137.38053559824
Globe,ID,ALUPLANT,1,ALU,2023,140.23284575699
Globe,ID,ALUPLANT,1,ALU,2024,144.76707467744
Globe,ID,ALUPLANT,1,ALU,2025,147.67609659428
Globe,ID,ALUPLANT,1,ALU,2026,144.7712193312
Globe,ID,ALUPLANT,1,ALU,2027,149.31486939375
Globe,ID,ALUPLANT,1,ALU,2028,158.08098603867
Globe,ID,ALUPLANT,1,ALU,2029,163.23347137174
Globe,ID,ALUPLANT,1,ALU,2030,166.9266848525
Globe,ID,ALUPLANT,1,ALU,2031,170.62000961214
Globe,ID,ALUPLANT,1,ALU,2032,173.74197800244002
Globe,ID,ALUPLANT,1,ALU,2033,178.00654631584
Globe,ID,ALUPLANT,1,ALU,2034,181.69976118932001
Globe,ID,ALUPLANT,1,ALU,2035,183.3440175632
Globe,ID,ALUPLANT,1,ALU,2036,185.9128595478
Globe,ID,ALUPLANT,1,ALU,2037,192.77962014546003
Globe,ID,ALUPLANT,1,ALU,2038,196.47283484025002
Globe,ID,ALUPLANT,1,ALU,2039,200.16615748267998
Globe,ID,ALUPLANT,1,ALU,2040,203.85937230079998
Globe,ID,ALUPLANT,1,ALU,2041,207.55269367674003
Globe,ID,ALUPLANT,1,ALU,2042,211.24590870777
Globe,ID,ALUPLANT,1,ALU,2043,214.93923268540001
Globe,ID,ALUPLANT,1,ALU,2044,218.6324452608
Globe,ID,ALUPLANT,1,ALU,2045,222.32576846408
Globe,ID,ALUPLANT,1,ALU,2046,226.01898442152
Globe,ID,ALUPLANT,1,ALU,2047,229.71230706612002
Globe,ID,ALUPLANT,1,ALU,2048,233.40552061461995
Globe,ID,ALUPLANT,1,ALU,2049,237.098844045
Globe,ID,ALUPLANT,1,ALU,2050,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2051,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2052,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2053,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2054,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2055,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2056,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2057,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2058,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2059,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2060,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2061,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2062,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2063,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2064,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2065,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2066,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2067,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2068,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2069,240.79205631800005
Globe,ID,ALUPLANT,1,ALU,2070,240.79205631800005
Globe,ID,C1BFRDF00,1,C1_F_RD,2010,0.21518965
Globe,ID,C1BFRDF00,1,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,1,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,1,C1_F_RD,2013,0.59859554
Globe,ID,C1BFRDF00,1,C1_F_RD,2014,0.45603069999999996
Globe,ID,C1BFRDF00,1,C1_F_RD,2015,0.38714034
Globe,ID,C1BFRDF00,1,C1_F_RD,2016,0.33468945
Globe,ID,C1BFRDF00,1,C1_F_RD,2017,0.37894898
Globe,ID,C1BFRDF00,1,C1_F_RD,2018,0.3095073
Globe,ID,C1BFRDF00,1,C1_F_RD,2019,0.2774902
Globe,ID,C1BFRDF00,1,C1_F_RD,2020,0.23962521
Globe,ID,C1BFRDF00,1,C1_F_RD,2022,0.51964388
Globe,ID,C1BFRDF00,1,C1_F_RD,2024,0.082157435
Globe,ID,C1BFRDF00,1,C1_F_RD,2025,0.41579116
Globe,ID,C1BFRDF00,1,C1_F_RD,2026,0.36102013
Globe,ID,C1BFRDF00,1,C1_F_RD,2027,0.41434967
Globe,ID,C1BFRDF00,1,C1_F_RD,2028,0.32237667
Globe,ID,C1BFRDF00,1,C1_F_RD,2029,0.14302904
Globe,ID,C1BFRDF00,1,C1_F_RD,2030,0.11042021
Globe,ID,C1BFRDF00,1,C1_F_RD,2031,0.077428277
Globe,ID,C1BFRDF00,1,C1_F_RD,2032,0.006951001500000001
Globe,ID,C1BFRDF00,1,C1_F_RD,2033,0.034495056
Globe,ID,C1BMBRFH1,1,C1_F_HEA_R,2010,22.670714
