TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2010,1,ALUPLANT,Globe,1.9294277386099998
ID,2010,1,C1BFRDF00,Globe,0.097727337457
ID,2010,2,C1BFRDF00,Globe,0.15919564254299998
ID,2010,1,C1BMBRFH1,Globe,10.3945125638
ID,2010,1,C1BMBRFN1,Globe,1.011706416
ID,2010,1,C1BMLP000,Globe,1.12831411399
ID,2010,1,C1CO00I00,Globe,63.81717508
ID,2010,1,C1COBRFH1,Globe,2.69836554096
ID,2010,1,C1COCHP00,Globe,0.72117006412
ID,2010,1,C1COHTF03,Globe,17.727987181400003
ID,2010,1,C1COIGP00,Globe,0.029167646479
ID,2010,1,C1COSCP00,Globe,14.4985986881
ID,2010,1,C1ELEFF00,Globe,34.9874955198
ID,2010,1,C1ELRLF00,Globe,1.48500002131
ID,2010,1,C1GOCVP00,Globe,0.11118559193699999
ID,2010,1,C1GOHTF03,Globe,3.73365020872
ID,2010,1,C1HFGCPCH,Globe,0.06824358771899999
ID,2010,1,C1HFMRF00,Globe,40.862027999999995
ID,2010,1,C1HTOOTFI,Globe,38.341666270699996
ID,2010,1,C1HTOOTFR,Globe,2.53434789955
ID,2010,1,C1HYDMP00,Globe,5.5649632043
ID,2010,1,C1HYMIP00,Globe,0.46097133904
ID,2010,1,C1LFAVF00,Globe,0.17479562
ID,2010,1,C1LFBRFH1,Globe,7.242372827
ID,2010,1,C1LFBRFN1,Globe,0.7226474399999999
ID,2010,1,C1LFCCP00,Globe,0.282699678528
ID,2010,1,C1LFRDF00,Globe,8.5088165903
ID,2010,1,C1LFRLF00,Globe,3.171436
ID,2010,1,C1NG00I00,Globe,49.512623819999995
ID,2010,1,C1NGBRFH1,Globe,9.6141014501
ID,2010,1,C1NGBRFN1,Globe,0.7226474399999999
ID,2010,1,C1NGCCP00,Globe,3.9530771908999998
ID,2010,1,C1NGCCPCH,Globe,0.85513472886
ID,2010,1,C1NGGCP00,Globe,0.9575073080400001
ID,2010,1,C1NGGCPCH,Globe,0.84406137592
ID,2010,1,C1NGHTF03,Globe,9.1458260923
ID,2010,1,C1NU00I00,Globe,16.2682356862
ID,2010,1,C1NULWP00,Globe,5.8518832942
ID,2010,1,C1OCCVP00,Globe,0.0019077892416000002
ID,2010,1,C1OI00I00,Globe,76.78614848
ID,2010,1,C1OIHTF03,Globe,6.7423006152
ID,2010,1,C1OIRFP00,Globe,13.1739132442
ID,2010,2,C1OIRFP00,Globe,53.638519983
ID,2010,1,C1SOC1P00,Globe,0.042925257935999994
ID,2010,1,C1SOTHF00,Globe,0.46480685174
ID,2010,1,C1SOV1P00,Globe,0.121910623128
ID,2010,1,C1SOV2P00,Globe,0.09307699027199999
ID,2010,1,C1WDOFP00,Globe,0.022373164742399997
ID,2010,1,C1WDONP00,Globe,0.75568688279
ID,2010,1,CEMPLANT,Globe,5.4272729272
ID,2010,1,FERTPLANT,Globe,0.000195487328789
ID,2010,1,LA,Globe,2554.49999217
ID,2010,1,LA1,Globe,770.6000106199999
ID,2010,1,LA1_i,Globe,183.900001565
ID,2010,1,LA1_i_PROD,Globe,183.900001565
ID,2010,1,LA1_PROD,Globe,770.6000106199999
ID,2010,1,LA2,Globe,1600.0000029
ID,2010,1,LA2_PROD,Globe,1600.0000029
ID,2010,1,LandRes,Globe,6171.5255458
ID,2010,1,LF,Globe,1833.2
ID,2010,1,LF1,Globe,588.9155
ID,2010,1,LF2,Globe,1244.2845
ID,2010,1,LF2_PROD,Globe,1244.2845
ID,2010,1,LO,Globe,1783.8255077999997
ID,2010,1,MFOOFACTOR,Globe,2.74446121747
ID,2010,1,PAPPLANT,Globe,3.0372745412399995
ID,2010,1,PETAPLANT,Globe,4.8175849797e-06
ID,2010,1,PETBPLANT,Globe,18.331562323500002
ID,2010,1,STEPLANT,Globe,13.0903023671
ID,2010,1,VFOOFACTOR,Globe,33.343796153599996
ID,2010,1,XALUMINE,Globe,1.6627808241899997
ID,2010,1,XCEMMINE,Globe,22.523181914600002
ID,2010,1,XPHOMINE,Globe,6.2555928897e-07
ID,2010,1,XPOTMINE,Globe,1.36841129694e-07
ID,2010,1,XSTEMINE,Globe,20.1451241685
ID,2011,1,ALUPLANT,Globe,1.95731401037
ID,2011,1,C1BFRDF00,Globe,0.26746388
ID,2011,1,C1BMBRFH1,Globe,8.053725606899999
ID,2011,1,C1BMBRFN1,Globe,1.011706416
ID,2011,1,C1BMCHP00,Globe,0.394348708008
ID,2011,1,C1BMLP000,Globe,3.0648526520799995
ID,2011,1,C1CO00I00,Globe,65.053150601
ID,2011,1,C1COBRFH1,Globe,2.8457856187200004
ID,2011,1,C1COCHP00,Globe,0.73492034736
ID,2011,1,C1COHTF03,Globe,17.9043130651
ID,2011,1,C1COIGP00,Globe,0.0433588464
ID,2011,1,C1COSCP00,Globe,16.3906315757
ID,2011,1,C1ELEFF00,Globe,36.266037028199996
ID,2011,1,C1ELRLF00,Globe,1.5150000184999999
ID,2011,1,C1GOCVP00,Globe,0.13874830847999997
ID,2011,1,C1GOHTF03,Globe,3.65073709337
ID,2011,1,C1HFGCPCH,Globe,0.12103621880899999
ID,2011,1,C1HFMRF00,Globe,42.168183
ID,2011,1,C1HTOOTFI,Globe,39.2482794554
ID,2011,1,C1HTOOTFR,Globe,2.5252769967999997
ID,2011,1,C1HYDMP00,Globe,5.3698928506
ID,2011,1,C1HYMIP00,Globe,0.47668717931999993
ID,2011,1,C1LFAVF00,Globe,0.19532746
ID,2011,1,C1LFBRFH1,Globe,7.2597162739
ID,2011,1,C1LFBRFN1,Globe,0.9394416720000001
ID,2011,1,C1LFCCP00,Globe,0.34454023320599997
ID,2011,1,C1LFRDF00,Globe,8.64647112
ID,2011,1,C1LFRLF00,Globe,3.377671
ID,2011,1,C1NG00I00,Globe,50.80227543699999
ID,2011,1,C1NGBRFH1,Globe,9.744177989299999
ID,2011,1,C1NGBRFN1,Globe,1.0839711600000002
ID,2011,1,C1NGCCP00,Globe,4.390022977379999
ID,2011,1,C1NGCCPCH,Globe,0.86417419223
ID,2011,1,C1NGGCP00,Globe,1.35579507705
ID,2011,1,C1NGGCPCH,Globe,0.8525358470499999
ID,2011,1,C1NGHTF03,Globe,8.974002089499999
ID,2011,1,C1NU00I00,Globe,10.720093925099999
ID,2011,1,C1NULWP00,Globe,3.86170532411
ID,2011,1,C1OCCVP00,Globe,0.0019077892416000002
ID,2011,1,C1OI00I00,Globe,77.06144929
ID,2011,1,C1OIHTF03,Globe,6.899837573799999
ID,2011,1,C1OIRFP00,Globe,14.174389477
ID,2011,2,C1OIRFP00,Globe,54.289580963
ID,2011,1,C1SOC1P00,Globe,0.042925257935999994
ID,2011,1,C1SOTHF00,Globe,0.51336873221
ID,2011,1,C1SOV1P00,Globe,0.21296420056799997
ID,2011,1,C1SOV2P00,Globe,0.162451144512
ID,2011,1,C1WDOFP00,Globe,0.022559607598600002
ID,2011,1,C1WDONP00,Globe,0.73726514765
ID,2011,1,CEMPLANT,Globe,5.228279067199999
ID,2011,1,FERTPLANT,Globe,0.000191542021158
