TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2011,1,Globe,C1SOV1P00,0.21245834736
ID,2011,1,Globe,C1SOV2P00,0.16187302656
ID,2011,1,Globe,C1WDOFP00,0.0052464204143999995
ID,2011,1,Globe,C1WDONP00,0.57481689849408
ID,2011,1,Globe,CEMPLANT,4.98881424502297
ID,2011,1,Globe,FERTPLANT,0.00019155405303697932
ID,2011,1,Globe,LA,2534.410014814533
ID,2011,1,Globe,LA1,750.5100148145331
ID,2011,1,Globe,LA1_i,183.9
ID,2011,1,Globe,LA1_i_PROD,183.9
ID,2011,1,Globe,LA1_PROD,750.5100148145331
ID,2011,1,Globe,LA2,1600.0
ID,2011,1,Globe,LA2_PROD,1600.0
ID,2011,1,Globe,LandRes,6151.435514814531
ID,2011,1,Globe,LF,1833.2
ID,2011,1,Globe,LF1,588.9155
ID,2011,1,Globe,LF2,1244.2845000000004
ID,2011,1,Globe,LF2_PROD,1244.2845000000002
ID,2011,1,Globe,LO,1783.8255000000004
ID,2011,1,Globe,MFOOFACTOR,2.7780999884004167
ID,2011,1,Globe,PAPPLANT,3.055469900101171
ID,2011,1,Globe,PETAPLANT,4.679571816857059e-06
ID,2011,1,Globe,PETBPLANT,18.961098482070838
ID,2011,1,Globe,STEPLANT,13.183952503817803
ID,2011,1,Globe,VFOOFACTOR,32.517127632580554
ID,2011,1,Globe,XALUMINE,1.6474487913605738
ID,2011,1,Globe,XCEMMINE,20.82331065872588
ID,2011,1,Globe,XPHOMINE,6.129729697183339e-07
ID,2011,1,Globe,XPOTMINE,1.3408783712588555e-07
ID,2011,1,Globe,XSTEMINE,20.289245946462852
ID,2012,1,Globe,ALUPLANT,1.9316691364990084
ID,2012,1,Globe,C1BFRDF00,0.27805061000000003
ID,2012,1,Globe,C1BMBRFH1,6.5560175440028665
ID,2012,1,Globe,C1BMCHP00,0.382063701528
ID,2012,1,Globe,C1BMHTF03,3.24757759536
ID,2012,1,Globe,C1BMLP000,3.1620885588349794
ID,2012,1,Globe,C1CO00I00,64.82873484
ID,2012,1,Globe,C1COBRFH1,5.307122799360001
ID,2012,1,Globe,C1COCHP00,1.0859208627931198
ID,2012,1,Globe,C1COHTF03,21.547901365920005
ID,2012,1,Globe,C1COIGP00,0.007291911599999999
ID,2012,1,Globe,C1COSCP00,13.020700338729457
ID,2012,1,Globe,C1ELEFF00,37.25838522339041
ID,2012,1,Globe,C1ELRLF00,3.0999999999999996
ID,2012,1,Globe,C1GOCVP00,0.09672242572800001
